Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
36.25.2977,False,False,True,24579,,Arms and Armor,1936.0,War hat,War Hat,Cambodian,,,,,,,,,,,,,,,,,,18th century,1701,1800,"Cane, pigment",H. 6 1/2 in. (16.5 cm); Diam. 15 in. (38.1 cm); Wt. 12.4 oz. (351.5 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Miscellaneous,,http://www.metmuseum.org/art/collection/search/24579,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.2981,False,False,False,24580,,Arms and Armor,1936.0,Hat for camp wear,Hat for Camp Wear,Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,Leather,H. 9 1/2 in. (24.1 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Costumes,,http://www.metmuseum.org/art/collection/search/24580,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.2983,False,False,False,24581,,Arms and Armor,1936.0,Hood for camp wear,Hood for Camp Wear,Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Leather, linen",H. 23 1/2 in. (59.7 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Costumes,,http://www.metmuseum.org/art/collection/search/24581,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.2984,False,False,False,24582,,Arms and Armor,1936.0,Cap,Cap,Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Leather, textile",L. 9 3/8 in. (23.8 cm); W. 11 1/4 in. (28.6 cm); Wt. 9.2 oz. (261 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Costumes,,http://www.metmuseum.org/art/collection/search/24582,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.2985,False,False,False,24583,,Arms and Armor,1936.0,Belt,Belt,"Japanese, Ainu",,,,,,,,,,,,,,,,,,19th century,1801,1900,"Brass, copper, leather, fur, stone",L. 30 1/4 in. (76.8 cm); W. 5 1/4 in. (13.3 cm); Wt. 1 lb. 1.9 oz. (506 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Miscellaneous,,http://www.metmuseum.org/art/collection/search/24583,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.2995a, b",False,False,False,24584,,Arms and Armor,1936.0,Conch shell trumpet (Hora-no-kai) with carrying net,Conch Shell Trumpet (Hora-no-kai) with Carrying Net,Japanese,,,,,,,,,,,,,,,,,,18th century,1700,1799,"Shell (conch), brass, silk",L. 14 5/8 in. (37.2 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Miscellaneous,,http://www.metmuseum.org/art/collection/search/24584,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.2999,False,False,False,24585,,Arms and Armor,1936.0,Drum,Drum,Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Wood, leather, brass",Dia. 13 in. (33.0 cm); H. 4 1/2 in. (11.4 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Miscellaneous,,http://www.metmuseum.org/art/collection/search/24585,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.3000,False,False,False,24586,,Arms and Armor,1936.0,Morning star,Morning Star Sleeve Tangler,Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Iron, wood",L. 78 in. (198.1 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Miscellaneous,,http://www.metmuseum.org/art/collection/search/24586,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.3001a, b",False,False,False,24587,,Arms and Armor,1936.0,Okimono in form of crow (Karasu),Okimono in form of Crow (Karasu),Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,Iron,L. 11 3/4 in. (29.9 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Miscellaneous,,http://www.metmuseum.org/art/collection/search/24587,,,"Metropolitan Museum of Art, New York, NY",Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113
36.25.3002,False,False,False,24588,,Arms and Armor,1936.0,Fire lighter,Fire Lighter,Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,,,"Bequest of George C. Stone, 1935",,,,,,,,,,,,Miscellaneous,,http://www.metmuseum.org/art/collection/search/24588,,,"Metropolitan Museum of Art, New York, NY",,,
