Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
10.149.71,False,False,True,7684,774,The American Wing,1910.0,Soup plate,Soup Plate,"Chinese, for American market",,,,,,,,,,,,,,,,,,1785–90,1785,1790,Porcelain,Diam. 9 1/4 in. (23.5 cm),"Bequest of James T. Woodward, 1910",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7684,https://www.wikidata.org/wiki/Q116335499,,"Metropolitan Museum of Art, New York, NY",Coat of Arms|Birds|Flowers,http://vocab.getty.edu/page/aat/300126352|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q14659|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q506
10.149.72,False,False,True,7685,774,The American Wing,1910.0,Soup plate,Soup Plate,"Chinese, for American market",,,,,,,,,,,,,,,,,,1785–90,1785,1790,Porcelain,Diam. 9 1/4 in. (23.5 cm),"Bequest of James T. Woodward, 1910",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7685,https://www.wikidata.org/wiki/Q116335512,,"Metropolitan Museum of Art, New York, NY",Coat of Arms|Birds|Flowers,http://vocab.getty.edu/page/aat/300126352|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q14659|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q506
10.149.73,False,False,True,7686,774,The American Wing,1910.0,Soup plate,Soup Plate,"Chinese, for American market",,,,,,,,,,,,,,,,,,1785–90,1785,1790,Porcelain,Diam. 9 1/4 in. (23.5 cm),"Bequest of James T. Woodward, 1910",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7686,https://www.wikidata.org/wiki/Q116335522,,"Metropolitan Museum of Art, New York, NY",Coat of Arms|Birds|Flowers,http://vocab.getty.edu/page/aat/300126352|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q14659|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q506
39.184.27,False,False,True,7687,718,The American Wing,1939.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1736–95,1736,1795,Porcelain,Diam. 8 3/4 in. (22.2 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7687,https://www.wikidata.org/wiki/Q116363158,,"Metropolitan Museum of Art, New York, NY",Roses,http://vocab.getty.edu/page/aat/300266246,https://www.wikidata.org/wiki/Q102231
39.184.28,False,False,True,7688,718,The American Wing,1939.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1736–95,1736,1795,Porcelain,Diam. 8 3/4 in. (22.2 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7688,https://www.wikidata.org/wiki/Q116363171,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
54.87.7,False,False,True,7689,774,The American Wing,1954.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,Diam. 9 5/8 in. (24.4 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7689,https://www.wikidata.org/wiki/Q116335210,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
54.87.8,False,False,True,7690,774,The American Wing,1954.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,Diam. 9 3/4 in. (24.8 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7690,https://www.wikidata.org/wiki/Q116335200,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
54.87.9,False,False,True,7691,774,The American Wing,1954.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,Diam. 9 3/4 in. (24.8 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7691,https://www.wikidata.org/wiki/Q116335150,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
54.87.10,False,False,True,7692,774,The American Wing,1954.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,Diam. 9 3/4 in. (24.8 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7692,https://www.wikidata.org/wiki/Q116335074,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
54.87.11,False,False,False,7693,774,The American Wing,1954.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,Diam. 9 3/4 in. (24.8 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7693,https://www.wikidata.org/wiki/Q116392817,,"Metropolitan Museum of Art, New York, NY",,,
54.87.12,False,False,True,7694,774,The American Wing,1954.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,Diam. 9 3/4 in. (24.8 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7694,https://www.wikidata.org/wiki/Q116335062,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
54.87.13,False,False,True,7695,774,The American Wing,1954.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,Diam. 9 3/4 in. (24.8 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7695,https://www.wikidata.org/wiki/Q116335038,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
54.87.14,False,False,True,7696,774,The American Wing,1954.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,Diam. 9 5/8 in. (24.4 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7696,https://www.wikidata.org/wiki/Q116334665,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
54.87.15,False,False,True,7697,774,The American Wing,1954.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,Diam. 9 5/8 in. (24.4 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7697,https://www.wikidata.org/wiki/Q116334968,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
54.87.16,False,False,True,7698,774,The American Wing,1954.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,Diam. 9 3/4 in. (24.8 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7698,https://www.wikidata.org/wiki/Q116334922,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
54.87.17,False,False,True,7699,774,The American Wing,1954.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,Diam. 9 11/16 in. (24.6 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7699,https://www.wikidata.org/wiki/Q116334794,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
54.87.18,False,False,True,7700,774,The American Wing,1954.0,Soup plate,Soup Plate,Chinese,,,,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,Diam. 9 3/4 in. (24.8 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7700,https://www.wikidata.org/wiki/Q116334815,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
"46.64.5a, b",False,False,True,7701,774,The American Wing,1946.0,Soup tureen,Soup Tureen,British (American market),,,,,,,,,,,,,,,,,,ca. 1760,1757,1760,Stoneware,9 1/8 x 12 1/2 x 9 1/4 in. (23.2 x 31.8 x 23.5 cm),"Gift of Mrs. Russell S. Carter, 1946",Made in,,Staffordshire,Staffordshire,England,,,,,,,,,http://www.metmuseum.org/art/collection/search/7701,https://www.wikidata.org/wiki/Q116334686,,"Metropolitan Museum of Art, New York, NY",,,
"51.86.78a, b",False,False,True,7702,774,The American Wing,1951.0,Soup tureen,Soup Tureen,Chinese,,,,,,,,,,,,,,,,,,1750–70,1750,1770,Porcelain,12 7/8 x 13 13/16 x 9 5/8 in. (32.7 x 35.1 x 24.4 cm),"Gift of Winfield Foundation, 1951",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7702,https://www.wikidata.org/wiki/Q116334591,,"Metropolitan Museum of Art, New York, NY",Geese,http://vocab.getty.edu/page/aat/300250063,https://www.wikidata.org/wiki/Q16529344
"67.109a, b",False,False,True,7703,774,The American Wing,1967.0,Tureen,Soup Tureen,"Chinese, for American market",,,,,,,,,,,,,,,,,,ca. 1865,1860,1870,Silver,10 x 16 3/4 x 10 1/16 in. (25.4 x 42.5 x 25.6 cm),"Purchase, Robert G. Goelet Gift, 1967",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/7703,https://www.wikidata.org/wiki/Q116392818,,"Metropolitan Museum of Art, New York, NY",Battles|Horses,http://vocab.getty.edu/page/aat/300185692|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q178561|https://www.wikidata.org/wiki/Q726
1979.134,False,False,True,7704,,The American Wing,1979.0,Spandrel panel ,Spandrel Panel from Edgar H. Laing Stores,American,,,,,206,Maker, ,James Bogardus,"American, Catskill, New York 1800–1874 New York", ,"Bogardus, James",American,1800      ,1874      ,,http://vocab.getty.edu/page/ulan/500010775,https://www.wikidata.org/wiki/Q1680047,ca. 1849,1846,1849,Cast iron,15 3/4 x 51 x 3 3/4 in. (40 x 129.5 x 9.5 cm),"Gift of Margaret H. Tuft, 1979",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/7704,,,"Metropolitan Museum of Art, New York, NY",,,
1985.40.17a,False,False,False,7705,774,The American Wing,1985.0,Spatula,Spatula,"American, Shaker",,,,,8737,Maker, ,United Society of Believers in Christ’s Second Appearing (“Shakers”),"American, active ca. 1750–present", ,United Society of Believers in Christ’s Second Appearing,American,1750      ,9999      ,,(not assigned),https://www.wikidata.org/wiki/Q1370167,1800–1900,1800,1900,Iron,24 9/16 x 8 1/2 x 2 in. (62.4 x 21.6 x 5.1 cm),"Gift of Mrs. G. James Fawcett, in memory of John S. Rudd, 1985",Made in,New Lebanon,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/7705,https://www.wikidata.org/wiki/Q116392820,,"Metropolitan Museum of Art, New York, NY",,,
92.10.9,False,False,True,7706,,The American Wing,1892.0,Cable,Specimen of the Atlantic Cable,,,,,,,,,,,,,,,,,,,1856–65,1856,1865,Metal,Dimensions unavailable,"Gift of Cyrus W. Field, 1892",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/7706,,,"Metropolitan Museum of Art, New York, NY",Transatlantic Cable, ,https://www.wikidata.org/wiki/Q2395922
92.10.10,False,False,True,7707,,The American Wing,1892.0,Cable,Specimen of the Atlantic Cable,,,,,,,,,,,,,,,,,,,1856–65,1856,1865,Metal,Dimensions unavailable,"Gift of Cyrus W. Field, 1892",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/7707,,,"Metropolitan Museum of Art, New York, NY",Transatlantic Cable, ,https://www.wikidata.org/wiki/Q2395922
92.10.11,False,False,True,7708,,The American Wing,1892.0,Cable,Specimen of the Atlantic Cable,,,,,,,,,,,,,,,,,,,1856–65,1856,1865,Metal,Dimensions unavailable,"Gift of Cyrus W. Field, 1892",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/7708,,,"Metropolitan Museum of Art, New York, NY",Transatlantic Cable, ,https://www.wikidata.org/wiki/Q2395922
92.10.12,False,False,True,7709,,The American Wing,1892.0,Cable,Specimen of the Atlantic Cable,,,,,,,,,,,,,,,,,,,1856–65,1856,1865,Metal,Dimensions unavailable,"Gift of Cyrus W. Field, 1892",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/7709,,,"Metropolitan Museum of Art, New York, NY",Transatlantic Cable, ,https://www.wikidata.org/wiki/Q2395922
92.10.13,False,False,False,7710,,The American Wing,1892.0,Cable,Specimen of the Atlantic Cable,,,,,,,,,,,,,,,,,,,1856–65,1856,1865,Metal,Dimensions unavailable,"Gift of Cyrus W. Field, 1892",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/7710,,,"Metropolitan Museum of Art, New York, NY",,,
92.10.14,False,False,False,7711,,The American Wing,1892.0,Cable,Specimen of the Atlantic Cable,,,,,,,,,,,,,,,,,,,1856–65,1856,1865,Metal,Dimensions unavailable,"Gift of Cyrus W. Field, 1892",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/7711,,,"Metropolitan Museum of Art, New York, NY",,,
92.10.15,False,False,False,7712,,The American Wing,1892.0,Cable,Specimen of the Atlantic Cable,,,,,,,,,,,,,,,,,,,1856–65,1856,1865,Metal,Dimensions unavailable,"Gift of Cyrus W. Field, 1892",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/7712,,,"Metropolitan Museum of Art, New York, NY",,,
92.10.16,False,False,False,7713,,The American Wing,1892.0,Cable,Specimen of the Atlantic Cable,,,,,,,,,,,,,,,,,,,1856–65,1856,1865,Metal,Dimensions unavailable,"Gift of Cyrus W. Field, 1892",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/7713,,,"Metropolitan Museum of Art, New York, NY",,,
92.10.17,False,False,False,7714,,The American Wing,1892.0,Cable,Specimen of the Atlantic Cable,,,,,,,,,,,,,,,,,,,1856–65,1856,1865,Metal,Dimensions unavailable,"Gift of Cyrus W. Field, 1892",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/7714,,,"Metropolitan Museum of Art, New York, NY",,,
