Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
88.10.3,False,False,True,236,774,The American Wing,1888.0,Armchair,Armchair,American,,,,,16381,Maker, ,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19, ,Pottier and Stymus Manufacturing Company , ,1858      ,1919      ,,http://vocab.getty.edu/page/ulan/500330539,https://www.wikidata.org/wiki/Q2106610,ca. 1875–76,1870,1881,"Black walnut, original and reproduction upholstery",51 3/4 x 28 x 25 in. (131.4 x 71.1 x 63.5 cm),"Gift of Auguste Pottier, 1888",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/236,https://www.wikidata.org/wiki/Q116373574,,"Metropolitan Museum of Art, New York, NY",,,
1970.35.1,True,True,True,237,736,The American Wing,1970.0,Armchair,Armchair,American,,,,,16381,Maker,Attributed to,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19, ,Pottier and Stymus Manufacturing Company , ,1858      ,1919      ,,http://vocab.getty.edu/page/ulan/500330539,https://www.wikidata.org/wiki/Q2106610,ca. 1870–75,1867,1875,"Rosewood, prickly juniper veneer, gilding, brass, original tapestry upholstery",37 x 27 1/2 x 27 1/2 in. (94 x 69.9 x 69.9 cm),"Funds from various donors, 1970",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/237,https://www.wikidata.org/wiki/Q29382865,,"Metropolitan Museum of Art, New York, NY",Sphinx,http://vocab.getty.edu/page/aat/300375739,https://www.wikidata.org/wiki/Q151480
1986.447.2,False,False,True,238,,The American Wing,1986.0,Armchair,Armchair,American,,,,,111,Maker,Follower of,Henry Hobson Richardson,1836–1886, ,"Richardson, Henry Hobson",American,1836      ,1886      ,,http://vocab.getty.edu/page/ulan/500016339,https://www.wikidata.org/wiki/Q723234,ca. 1880,1877,1880,Oak,33 x 25 x 29 in. (83.8 x 63.5 x 73.7 cm),"Anonymous Gift, 1986",Made in,,,,United States,New England ,,,,,,,,http://www.metmuseum.org/art/collection/search/238,,,"Metropolitan Museum of Art, New York, NY",,,
64.202.1,False,False,False,239,743,The American Wing,1964.0,Armchair,Armchair,American,,,,,16254216254,Maker|Maker, | ,Louis C. Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902", | ,"Tiffany, Louis C.|Tiffany Glass and Decorating Company",American|American,1848      |1892      ,1933      |1902      ,|,http://vocab.getty.edu/page/ulan/500030415|http://vocab.getty.edu/page/ulan/500331512,https://www.wikidata.org/wiki/Q312950|,ca. 1891–93,1888,1893,"Prima vera, American ash (secondary wood); marquetry of various woods and brass; replacement upholstery",35 5/8 x 25 1/4 x 26 1/8 in. (90.5 x 64.1 x 66.4 cm),"Gift of Mr. and Mrs. George E. Seligmann, 1964",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/239,https://www.wikidata.org/wiki/Q116373572,,"Metropolitan Museum of Art, New York, NY",,,
64.202.2,False,False,False,240,774,The American Wing,1964.0,Armchair,Armchair,American,,,,,16254216254,Maker|Maker, | ,Louis C. Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902", | ,"Tiffany, Louis C.|Tiffany Glass and Decorating Company",American|American,1848      |1892      ,1933      |1902      ,|,http://vocab.getty.edu/page/ulan/500030415|http://vocab.getty.edu/page/ulan/500331512,https://www.wikidata.org/wiki/Q312950|,ca. 1893,1890,1893,"Prima vera, American ash (secondary wood); marquetry of various woods and brass; replacement upholstery",35 3/8 x 25 5/8 x 26 1/4 in. (89.9 x 65.1 x 66.7 cm),"Gift of Mr. and Mrs. George E. Seligmann, 1964",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/240,https://www.wikidata.org/wiki/Q116373566,,"Metropolitan Museum of Art, New York, NY",,,
1979.130,False,True,False,243,774,The American Wing,1979.0,Revolving armchair,Revolving Armchair,American,,,,,16276,Maker, ,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona", ,"Wright, Frank Lloyd",American,1867      ,1959      ,,http://vocab.getty.edu/page/ulan/500020307,https://www.wikidata.org/wiki/Q5604,ca. 1904,1901,1904,"Steel, wood",38 x 20 3/4 x 24 3/4 in. (96.5 x 52.7 x 62.9 cm),"Purchase, Theodore R. Gamble Jr. Gift, in honor of his mother, Mrs. Theodore Robert Gamble, 1979",,,,,,,,,,,,,"© 2023 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/243,https://www.wikidata.org/wiki/Q116390159,,"Metropolitan Museum of Art, New York, NY",,,
1970.290.12,False,False,True,244,,The American Wing,1970.0,Armchair,Armchair,American,,,,,,,,,,,,,,,,,,1877–80,1877,1880,Mahogany,36 1/2 x 24 x 23 3/4 in. (92.7 x 61 x 60.3 cm),"Gift of Richard T. Button, 1970",Made in,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/244,,,"Metropolitan Museum of Art, New York, NY",,,
1970.290.13,False,False,True,245,,The American Wing,1970.0,Armchair,Armchair,American,,,,,,,,,,,,,,,,,,1877–80,1877,1880,Mahogany,36 1/2 x 24 x 23 3/4 in. (92.7 x 61 x 60.3 cm),"Gift of Richard T. Button, 1970",Made in,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/245,,,"Metropolitan Museum of Art, New York, NY",,,
68.133.2,False,False,True,246,737,The American Wing,1968.0,Armchair,Armchair,American,,,,,112,Maker,Attributed to,John Jelliff,1813–1893, ,"Jelliff, John",American,1813      ,1893      ,,http://vocab.getty.edu/page/ulan/500062668,https://www.wikidata.org/wiki/Q55720851,1868–70,1868,1870,"Rosewood, ash, mother-of-pearl",44 1/2 x 28 1/2 x 29 3/8 in. (113 x 72.4 x 74.6 cm),"Gift of Josephine M. Fiala, 1968",Made in,Newark,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/246,https://www.wikidata.org/wiki/Q116373569,,"Metropolitan Museum of Art, New York, NY",,,
68.133.3,False,True,True,247,737,The American Wing,1968.0,Armchair,Armchair,American,,,,,112,Maker,Attributed to,John Jelliff,1813–1893, ,"Jelliff, John",American,1813      ,1893      ,,http://vocab.getty.edu/page/ulan/500062668,https://www.wikidata.org/wiki/Q55720851,1868–70,1868,1870,"Rosewood, ash, mother-of-pearl",44 1/2 x 28 1/2 x 29 3/8 in. (113 x 72.4 x 74.6 cm),"Gift of Josephine M. Fiala, 1968",Made in,Newark,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/247,https://www.wikidata.org/wiki/Q83560008,,"Metropolitan Museum of Art, New York, NY",,,
