Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
"36.25.1477a, b",False,False,True,31110,,Arms and Armor,1936.0,Saber with scabbard and belt hook,Saber with Scabbard and Belt Hook (清    腰刀),Chinese,,,,,,,,,,,,,,,,,,probably 18th century,1675,1825,"Steel, iron, silk, leather, wood",L. 36 in. (91.4 cm); blade L. 28 1/2 in. (72.4 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31110,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1478a, b",False,False,False,31111,,Arms and Armor,1936.0,Sword with Scabbard,Sword with Scabbard,Chinese (European blade),,,,,,,,,,,,,,,,,,17th century,1601,1700,"Steel, sharkskin, brass, jade, wood",L. with scabbard 38 5/8 in. (98.1 cm); L. without scabbard 37 3/4 in. (95.9 cm); L. of blade 32 in. (82.3 cm); W. 2 5/8 in. (6.7 cm); Wt. 1 lb. 3.7 oz. (558.5 g); Wt. of scabbard 7.6 oz. (215.5 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31111,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1479a, b",False,False,False,31112,,Arms and Armor,1936.0,Sword with scabbard,Sword with Scabbard,Chinese,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,"Steel, sharkskin, brass, textile",L. with scabbard 37 3/4 in. (95.9 cm); L. without scabbard 35 3/8 in. (89.9 cm); L. of blade 27 3/4 in. (70.5 cm); W. 3 3/4 in. (9.5 cm); Wt. 1 lb. 3 oz. (538.6 g); Wt. of scabbard 14.9 oz. (422.4 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31112,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1483,False,False,False,31113,,Arms and Armor,1936.0,Sword,Sword,Chinese,,,,,,,,,,,,,,,,,,206 BCE–220 CE,206,220,Bronze,L. 20 1/8 in. (51.1 cm); W. 1 3/4 in. (4.5 cm); Wt. 1 lb. 5.4 oz. (606.7 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31113,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1485a, b",False,False,False,31114,,Arms and Armor,1936.0,Sword with scabbard,Sword with Scabbard,Chinese,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,"Steel, wood, bronze, cord, lacquer",L. with scabbard 26 1/2 in. (67.3 cm); L. without scabbard 24 1/4 in. (61.6 cm); W. 3 in. (7.6 cm); Wt. 1 lb. 3.1 oz. (541.5 g); Wt. of scabbard 6.9 oz. (195.6 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31114,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1487a–c,False,False,True,31115,,Arms and Armor,1936.0,Double sword with scabbard,Double Sword with Scabbard,Chinese,,,,,,,,,,,,,,,,,,19th century,1801,1900,"Steel, wood, brass, leather",L. with scabbard 17 3/4 in. (45.1 cm); L. of each without scabbard 17 1/2 in. (44.5 cm); L. of each blade 13 in. (33 cm); W. of each 5 in. (12.7 cm); Wt. of sword (a) 1 lb. 4.1 oz. (569.8 g); Wt. of sword (b); 1 lb. 5.2 oz. (601 g); Wt. of scabbard 2.5 oz. (70.9 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31115,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1488,False,False,True,31116,,Arms and Armor,1936.0,Sword,Sword,Chinese,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,"Steel, cord",H. 31 9/16 in. (80.2 cm); W. 2 1/8 in. (5.4 cm); D. 13/16 in. (2.1 cm); Wt. 2 lb. 1 oz. (935.5 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31116,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1490,False,False,False,31117,,Arms and Armor,1936.0,Sword,Sword,Persian,,,,,,,,,,,,,,,,,,16th century,1501,1600,"Steel, horn, leather",H. 36 in. (91.4 cm); W. 5 3/4 in. (14.6 cm); Wt. 1 lb. 9.8 oz. (731.4 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31117,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1491a, b",False,False,False,31118,,Arms and Armor,1936.0,Sword (Shamshir) with scabbard,Sword (Shamshir) with Scabbard,"hilt, Turkish; blade, Persian",,,,,,,,,,,,,,,,,,A.H. 1125/ 1712 CE,1712,1712,"Steel, gold, wood, leather",H. with scabbard 38 1/4 in. (97.2 cm); H. without scabbard 37 in. (94 cm); W. 5 3/8 in. (13.7 cm); Wt. 1 lb. 15.9 oz. (904.3 g); Wt. of scabbard 10.5 oz. (297.7 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31118,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1492,False,False,False,31119,,Arms and Armor,1936.0,Sword blade,Sword Blade,Persian,,,,,,,,,,,,,,,,,,A.H. 1151/1738 CE,1738,1738,"Steel, gold",H. 35 in. (88.9 cm); Wt. 1 lb. 11 oz. (765.4 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31119,,,"Metropolitan Museum of Art, New York, NY",,,
