Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
1986.203.3,False,False,False,3844,774,The American Wing,1986.0,Fruit basket,Fruit Basket,American,,,,,163,Maker,Possibly,William Ellis Tucker, , ,"Tucker, William Ellis",American,          ,9999      ,,,https://www.wikidata.org/wiki/Q8008569,1826–30,1826,1830,Porcelain,"Overall: H. 3 9/16 in. (9 cm)
Top: Diam. 8 15/16 in. (22.7 cm)
Bottom: Diam. 6 3/4 in. (17.1 cm)","Purchase, Leonard Marx Gift, 1986",Made in,Philadelphia,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3844,https://www.wikidata.org/wiki/Q116370151,,"Metropolitan Museum of Art, New York, NY",,,
46.140.364,False,False,True,3845,774,The American Wing,1946.0,Fruit bowl,Fruit Bowl,American,,,,,113,Maker,Possibly,Boston & Sandwich Glass Company,"American, 1825–1888, Sandwich, Massachusetts", ,Boston and Sandwich Glass Company ,American,1825      ,1888      ,,http://vocab.getty.edu/page/ulan/500334773,https://www.wikidata.org/wiki/Q4948224,1880–88,1880,1888,Blown amber glass with applied threaded decoration,H. 4 5/8 in. (11.7 cm); Diam. 10 in. (25.4 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Sandwich,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3845,https://www.wikidata.org/wiki/Q116370147,,"Metropolitan Museum of Art, New York, NY",,,
46.140.439,False,False,True,3846,774,The American Wing,1946.0,Fruit bowl,Hobnail Fruit Bowl,American,,,,,124,Maker,Probably,"Hobbs, Brockunier and Company",1863–1891, ,"Hobbs, Brockunier and Company ",American,1863      ,1891      ,,http://vocab.getty.edu/page/ulan/500330432,https://www.wikidata.org/wiki/Q16997505,after 1886,1887,1896,Pressed canberry and opalescent glass,3 3/16 x 8 in. (8.1 x 20.3 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Wheeling,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3846,https://www.wikidata.org/wiki/Q116370150,,"Metropolitan Museum of Art, New York, NY",,,
46.140.440,False,False,True,3847,774,The American Wing,1946.0,Fruit bowl,Hobnail Fruit Bowl,American,,,,,124,Maker,Probably,"Hobbs, Brockunier and Company",1863–1891, ,"Hobbs, Brockunier and Company ",American,1863      ,1891      ,,http://vocab.getty.edu/page/ulan/500330432,https://www.wikidata.org/wiki/Q16997505,after 1886,1887,1896,Pressed cranberry and opaque white glass,H. 3 1/4 in. (8.3 cm); Diam. 8 1/4 in. (21 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Wheeling,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3847,https://www.wikidata.org/wiki/Q116370146,,"Metropolitan Museum of Art, New York, NY",,,
1978.501.12,False,False,False,3848,,The American Wing,1978.0,Fruit bowl,Fruit Bowl,"American, Japanese",,,,,16276516513,Designer|Manufacturer,Designed by|Manufactured by,Frank Lloyd Wright|Noritake,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona|1904–present", | ,"Wright, Frank Lloyd|Noritake ",American| ,1867      |1904      ,1959      |9999      ,|,http://vocab.getty.edu/page/ulan/500020307|,https://www.wikidata.org/wiki/Q5604|,ca. 1922,1919,1922,Porcelain,Diam. 5 3/16 in. (13.2 cm),"Gift of Mr. and Mrs. Roger G. Kennedy, 1978",Made in,,,,Japan,,,,,,,,"© 2023 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/3848,,,"Metropolitan Museum of Art, New York, NY",,,
1978.501.13,False,False,False,3849,,The American Wing,1978.0,Fruit bowl,Fruit Bowl,"American, Japanese",,,,,16276516513,Designer|Manufacturer,Designed by|Manufactured by,Frank Lloyd Wright|Noritake,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona|1904–present", | ,"Wright, Frank Lloyd|Noritake ",American| ,1867      |1904      ,1959      |9999      ,|,http://vocab.getty.edu/page/ulan/500020307|,https://www.wikidata.org/wiki/Q5604|,ca. 1922,1919,1922,Porcelain,Diam. 5 3/16 in. (13.2 cm),"Gift of Mr. and Mrs. Roger G. Kennedy, 1978",Made in,,,,Japan,,,,,,,,"© 2023 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/3849,,,"Metropolitan Museum of Art, New York, NY",,,
39.184.38,False,False,False,3850,718,The American Wing,1939.0,Fruit dish,Fruit Dish,,,,,,,,,,,,,,,,,,,1736–95,1736,1795,Porcelain,4 5/8 x 9 x 7 1/8 in. (11.7 x 22.9 x 18.1 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/3850,https://www.wikidata.org/wiki/Q116391946,,"Metropolitan Museum of Art, New York, NY",,,
1985.191.3b,False,False,False,3851,774,The American Wing,1985.0,Solid Casting Pattern,Full-size pattern for facsimile of back half of body of Bryant Vase,American,,,,,16253,Maker, ,Tiffany & Co.,1837–present, ,Tiffany & Co., ,1837      ,9999      ,,http://vocab.getty.edu/page/ulan/500330306,https://www.wikidata.org/wiki/Q1066858,ca. 1875,1872,1878,"Copper, metal alloy, lead",18 1/2 x 11 x 5 1/2 in. (47 x 27.9 x 14 cm),"Gift of Tiffany & Company, 1985",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3851,https://www.wikidata.org/wiki/Q116370148,,"Metropolitan Museum of Art, New York, NY",,,
1985.191.3a,False,False,False,3852,774,The American Wing,1985.0,Solid Casting Pattern,Full-size pattern for facsimile of front half of body of Bryant Vase,American,,,,,16253,Maker, ,Tiffany & Co.,1837–present, ,Tiffany & Co., ,1837      ,9999      ,,http://vocab.getty.edu/page/ulan/500330306,https://www.wikidata.org/wiki/Q1066858,ca. 1875,1872,1878,"Copper, metal alloy, lead","18 1/2 × 12 1/2 × 5 3/4 in., 204 lb. (47 × 31.8 × 14.6 cm, 92.5 kg)","Gift of Tiffany & Company, 1985",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3852,https://www.wikidata.org/wiki/Q116391948,,"Metropolitan Museum of Art, New York, NY",,,
1985.191.3g,False,False,False,3853,774,The American Wing,1985.0,Solid Casting Pattern,Full-size pattern for facsimiles of both front and back sides of handle of Bryant Vase,American,,,,,16253,Maker, ,Tiffany & Co.,1837–present, ,Tiffany & Co., ,1837      ,9999      ,,http://vocab.getty.edu/page/ulan/500330306,https://www.wikidata.org/wiki/Q1066858,ca. 1875,1872,1878,"Copper, metal alloy, lead","15 1/2 × 8 1/2 × 2 1/2 in., 16 lb. (39.4 × 21.6 × 6.4 cm, 7.3 kg)","Gift of Tiffany & Company, 1985",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3853,https://www.wikidata.org/wiki/Q116370142,,"Metropolitan Museum of Art, New York, NY",,,
