Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
02.18.214,False,False,True,43622,,Asian Art,1902.0,Chisel,,France,,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,H. 2 5/8 in. (6.6 cm); W. 7/8 in. (2.3 cm); D. 11/16 in. (1.7 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43622,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.215,False,False,True,43623,,Asian Art,1902.0,Hatchet,,France,,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,H. 2 11/16 in. (6.9 cm); W. 1 5/16 in. (3.3 cm); D. 11/16 in. (1.8 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43623,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.216,False,False,True,43624,,Asian Art,1902.0,Hatchet,,France,,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,H. 2 3/4 in. (7 cm); W. 1 5/8 in. (4.1 cm); D. 3/4 in. (1.9 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43624,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.217,False,False,True,43625,,Asian Art,1902.0,Hatchet,,France,,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,H. 3 7/16 in. (8.8 cm); W. 1 7/8 in. (4.7 cm); D. 1 in. (2.5 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43625,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.218,False,False,True,43626,,Asian Art,1902.0,Hatchet,,France,,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,H. 4 in. (10.1 cm); W. 1 9/16 in. (4 cm); D. 13/16 in. (2.1 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43626,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.219,False,False,True,43627,,Asian Art,1902.0,Axe,,Mexico,Pre-Columbian period,,,,,,,,,,,,,,,,,,1902,1902,Black jadeite,H. 6 13/16 in. (17.3 cm); W. 2 3/8 in. (6 cm); D. 1 1/4 in. (3.2 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43627,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.220,False,False,True,43628,,Asian Art,1902.0,Chisel,,Mexico,,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,H. 1 1/2 in. (3.8 cm); W. 11/16 in. (1.7 cm); D. 5/16 in. (.8 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43628,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.221,False,False,True,43629,,Asian Art,1902.0,Chisel,,Mexico,,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,2 3/8 × 11/16 × 9/16 in. (6 × 1.7 × 1.4 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43629,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.222,False,False,True,43630,,Asian Art,1902.0,Hatchet,,Guatemala,Pre-Columbian period,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,H. 1 3/4 in. (4.4 cm); W. 1 1/16 in. (2.7 cm); Th. 1/2 in. (1.3 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43630,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.223,False,False,True,43631,,Asian Art,1902.0,Hatchet fragment,,Guatemala,,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,H. 1 1/4 in. (3.2 cm); W. 1 5/8 in. (4.1 cm); Th. 3/4 in. (1.9 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43631,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.224,False,False,True,43632,,Asian Art,1902.0,Chisel,,Guatemala,,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,H. 2 3/8 in. (6 cm); W. 1 1/16 in. (2.7 cm); Th. 11/16 in. (1.7 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43632,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.225,False,False,True,43633,,Asian Art,1902.0,Cutting tool,,Guatemala,Pre-Columbian period,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,H. 1 3/4 in. (4.4 cm); W. 1 3/8 in. (3.5 cm); Th. 3/8 in. (1 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43633,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.226,False,False,True,43634,,Asian Art,1902.0,Hatchet,,Jamaica,,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,L. 3 1/16 in. (7.7 cm); W. 1 7/8 in. (4.7 cm); D. 11/16 in. (1.8 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43634,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.227,False,False,True,43635,,Asian Art,1902.0,Hatchet,,West Indies,,,,,,,,,,,,,,,,,,,1902,1902,Jadeite,L. 2 13/16 in. (7.1cm); W. 1 7/16 (3.7 cm); D. 1 in. (2.6 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43635,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.228,False,False,True,43636,,Asian Art,1902.0,Axe,,Canada (British Columbia),Pre-Columbian period,,,,,,,,,,,,,,,,,,1902,1902,Nephrite,H. 5 9/16 in. (14.1 cm); W. 2 in. (5.1 cm); D. 9/16 in. (1.5 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43636,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.229,False,False,True,43637,,Asian Art,1902.0,Adze,,Canada (British Columbia),Pre-Columbian period,,,,,,,,,,,,,,,,,,1902,1902,Nephrite,H. 2 15/16 in. (7.5 cm); W. 1 9/16 in. (4 cm); D 1/2 in. (1.2 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43637,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.230,False,False,True,43638,,Asian Art,1902.0,Hatchet,,Canada (British Columbia),,,,,,,,,,,,,,,,,,,1902,1902,Nephrite,H. 8 3/4 in. (22.2 cm); W. 1 3/4 in. (4.4 cm); D. 5/8 in. (1.6 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43638,,,"Metropolitan Museum of Art, New York, NY",,,
02.18.231,False,False,True,43639,,Asian Art,1902.0,Hatchet,,Canada (British Columbia),Pre-Columbian period,,,,,,,,,,,,,,,,,,1902,1902,Nephrite,H. 2 5/16 in. (5.9 cm); W. 1 7/16 in. (3.7 cm); D. 3/8 in. (1 cm),"Gift of Heber R. Bishop, 1902",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/43639,,,"Metropolitan Museum of Art, New York, NY",,,
