Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
29.158.46,False,False,True,22773,373.0,Arms and Armor,1929.0,Visored bascinet,Visored Bascinet,Italian,,,,,,,,,,,,,,,,,,ca. 1425–50,1400,1475,Steel,H. 13 3/8 in. (34 cm); W. 8 1/2 in. (21.6 cm); D. 9 1/4 in. (23.5 cm); Wt. 8 lb. 10 oz. (3912 g),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,,,,,,,,,,,Helmets,,http://www.metmuseum.org/art/collection/search/22773,https://www.wikidata.org/wiki/Q116324725,,"Metropolitan Museum of Art, New York, NY",,,
29.158.51,False,False,True,22774,373.0,Arms and Armor,1929.0,Armet,Armet,"Italian, Milan",,,,,,,,,,,,,,,,,,ca. 1475,1450,1500,Steel,H. 10 in. (25.4 cm); W. 8 7/8 in. (22.53 cm); D. 12 1/4 in. (31.12 cm); Wt. 7 lb. 7 oz. (3374 g),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,Milan,,,,,,,,,,Helmets,,http://www.metmuseum.org/art/collection/search/22774,https://www.wikidata.org/wiki/Q116324649,,"Metropolitan Museum of Art, New York, NY",,,
29.158.52,False,False,True,22775,373.0,Arms and Armor,1929.0,Armet,Armet,"South Netherlandish, Brussels",,,,,1129,Armorer, ,Guillem Margot,"Flemish, active Brussels, recorded 1505–20", ,"Margot, Guillem",Flemish,1505      ,1533      ,,,,ca. 1505,1500,1510,"Steel, copper alloy",H. 12 in. (30.5 cm); W. 8 7/16 in. (21.4 cm); D. 13 in. (33 cm); Wt. 9 lb. 4 oz. (4192 g),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,Brussels,,,,,,,,,,Helmets,,http://www.metmuseum.org/art/collection/search/22775,https://www.wikidata.org/wiki/Q116324664,,"Metropolitan Museum of Art, New York, NY",,,
29.158.53,False,False,True,22776,371.0,Arms and Armor,1929.0,Helmet,Helmet in the Shape of a Cavalier's Hat,probably British,,,,,,,,,,,,,,,,,,ca. 1630–50,1605,1675,"Steel, gold, textile",H. including nasal 10 in. (25.4 cm); H excluding nasal 6 in. (15.2 cm); W. 7 in. (17.8 cm); D. 13 in. (33 cm); Wt. 3 lb. 7 oz. (1550 g),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,,,,,,,,,,,Helmets,,http://www.metmuseum.org/art/collection/search/22776,https://www.wikidata.org/wiki/Q116324639,,"Metropolitan Museum of Art, New York, NY",Hats,http://vocab.getty.edu/page/aat/300046106,https://www.wikidata.org/wiki/Q80151
"29.158.54a, b",False,False,False,22777,,Arms and Armor,1929.0,Couters (elbow defenses),Couters (Elbow Defenses),German,,,,,,,,,,,,,,,,,,ca. 1500–1535,1475,1560,Steel,H. 7 in. (17.8 cm); W. 5 1/4 in. (13.3 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,,,,,,,,,,,Armor Parts-Elbow Plates,,http://www.metmuseum.org/art/collection/search/22777,,,"Metropolitan Museum of Art, New York, NY",,,
29.158.56,False,False,False,22778,,Arms and Armor,1929.0,Upper arm defense (Rerebrace) and elbow defense (Couter),Upper Arm Defense (Rerebrace) and Elbow Defense (Couter),German,,,,,,,,,,,,,,,,,,ca. 1510–30,1485,1555,Steel,H. 10 1/2 in. (26.7 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,,,,,,,,,,,Armor Parts-Elbow Plates,,http://www.metmuseum.org/art/collection/search/22778,,,"Metropolitan Museum of Art, New York, NY",,,
29.158.58,False,False,False,22779,,Arms and Armor,1929.0,Shoulder defense,Shoulder Defense,"German, Nuremberg",,,,,,,,,,,,,,,,,,ca. 1510–30,1485,1555,Steel,L. 9 in. (22.9 cm); W. 8 1/2 in. (21.6 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,Nuremberg,,,,,,,,,,Armor Parts,,http://www.metmuseum.org/art/collection/search/22779,,,"Metropolitan Museum of Art, New York, NY",,,
"29.158.61a, b",False,False,False,22780,,Arms and Armor,1929.0,Pair of shoulder defenses,Pair of Shoulder Defenses,German,,,,,,,,,,,,,,,,,,ca. 1510–25,1485,1550,Steel,H. of each 9 in. (22.9 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,,,,,,,,,,,Armor Parts,,http://www.metmuseum.org/art/collection/search/22780,,,"Metropolitan Museum of Art, New York, NY",,,
29.158.74,False,False,False,22781,,Arms and Armor,1929.0,Couter (elbow defense),Couter (Elbow Defense),German,,,,,,,,,,,,,,,,,,ca. 1500–1510,1475,1535,Steel,H. 6 1/4 in. (15.9 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,,,,,,,,,,,Armor Parts-Elbow Plates,,http://www.metmuseum.org/art/collection/search/22781,,,"Metropolitan Museum of Art, New York, NY",,,
29.158.81,False,False,True,22782,,Arms and Armor,1929.0,Left shoulder defense (Pauldron),Left Shoulder Defense (Pauldron),"Italian, probably Milan",,,,,20779,Armorer, ,Niccolò Silva,"Italian, Milan, recorded 1511–49", ,"Silva, Niccolò",Italian,1511      ,1549      ,,http://vocab.getty.edu/page/ulan/500081189,,ca. 1510–15,1485,1540,"Steel, gold",L. 8 3/4 in. (22.2 cm); W. 2 1/4 in. (5.7 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,probably Milan,,,,,,,,,,Armor Parts,,http://www.metmuseum.org/art/collection/search/22782,,,"Metropolitan Museum of Art, New York, NY",,,
