Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
14.25.396,False,False,True,26797,,Arms and Armor,1914.0,Ahlspiess,Ahlspiess,probably Austrian,,,,,,,,,,,,,,,,,,second half 15th century,1450,1500,"Steel, wood",L. 93 1/2 in. (237.5 cm); L. of head 48 in. (121.9 cm); W. 5 in. (12.7 cm); Wt. 6 lbs. 13.4 oz. (3101.4 g),"Gift of William H. Riggs, 1913",,,,,,,,,,,,Shafted Weapons,,http://www.metmuseum.org/art/collection/search/26797,,,"Metropolitan Museum of Art, New York, NY",,,
14.25.399,False,False,True,26798,,Arms and Armor,1914.0,Friauler Spiess,Friauler Spiess,Italian,,,,,,,,,,,,,,,,,,16th century,1501,1600,"Steel, wood (ash), textile, brass",L. 9 ft. 7 1/8 in. (292.4 cm); L. of head 37 1/2 in. (95.2 cm); W. 19 1/4 in. (48.9 cm); Wt. 5 lbs. 8 oz. (2494.8 g),"Gift of William H. Riggs, 1913",,,,,,,,,,,,Shafted Weapons,,http://www.metmuseum.org/art/collection/search/26798,,,"Metropolitan Museum of Art, New York, NY",,,
14.100.171a–s,False,False,True,26799,377.0,Arms and Armor,1914.0,Armor (<i>Gusoku</i>),Armor (&lt;i&gt;Gusoku&lt;/i&gt;),Japanese,,,,,,,,,,,,,,,,,,late 18th–19th century,1750,1900,"Iron, lacquer, gold, silver, copper alloy, leather, silk",as mounted: H. 54 1/2 in. (138.4 cm); W. 22 1/2 in. (57.2 cm); D. 20 1/2 in. (52.1 cm),"Gift of Bashford Dean, 1914",,,,,,,,,,,,Armor for Man,,http://www.metmuseum.org/art/collection/search/26799,https://www.wikidata.org/wiki/Q116240953,,"Metropolitan Museum of Art, New York, NY",,,
"04.4.37, .38",False,False,True,26800,,Arms and Armor,1904.0,Pair of gauntlets,Pair of Gauntlets,Japanese,,,,,,,,,,,,,,,,,,18th century,1701,1800,"Iron, leather, textile",04.4.37: L. 9 in. (22.9 cm); W. 4 1/4 in. (10.8 cm); D. 3 3/4 in. (9.5 cm); Wt. 13 oz. (367 g); 04.4.38: L. 8 3/4 in. (22.2 cm); W. 4 in. (10.2 cm); D. 3 7/8 in. (9.8 cm); Wt. 13.5 oz. (383 g),"Rogers Fund, 1904",,,,,,,,,,,,Armor Parts-Gauntlets,,http://www.metmuseum.org/art/collection/search/26800,,,"Metropolitan Museum of Art, New York, NY",,,
2000.487.2,False,False,True,26802,,Arms and Armor,2000.0,Arm defense,Arm Defense,possibly Tibetan,,,,,,,,,,,,,,,,,,15th–17th century,1401,1700,"Iron, leather, copper alloy, textile",L. 10 5/8 inches (27 cm),"Purchase, Arthur Ochs Sulzberger Gift, 2000",,,,,,,,,,,,Armor Parts-Arms & Shoulders,,http://www.metmuseum.org/art/collection/search/26802,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.357,False,False,False,26803,,Arms and Armor,1936.0,Breastplate,Breastplate,Japanese,,,,,,,,,,,,,,,,,,18th century,1701,1800,Iron,L. 14 1/4 in. (36.2 cm); W. 9 1/2 in. (24.1 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Armor Parts-Breastplates,,http://www.metmuseum.org/art/collection/search/26803,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.594,False,False,False,26804,,Arms and Armor,1936.0,Shield,Shield,Indian,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,"Hide, gold, polychromy, steel, gold, leather, textile (velvet)",Diam. 20 1/4 in. (51.4 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Shields,,http://www.metmuseum.org/art/collection/search/26804,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.2553a, b",False,False,False,26805,,Arms and Armor,1936.0,Bow case and quiver,Bow Case and Quiver,Chinese,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,"Brass,leather,velvet","a) L. 21-1/4 in. (595.3 cm); W. 12-3/4 in. (340.2 cm);
b) L. 10-1/2 in. (283.5 cm); W. 7-1/2 in. (198.4 cm);","Bequest of George C. Stone, 1935",,,,,,,,,,,,Archery Equipment-Arrows & Quivers,,http://www.metmuseum.org/art/collection/search/26805,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.35,False,False,True,26806,,Arms and Armor,1936.0,Helmet of mail and plate,Helmet of Mail and Plate,Indian,,,,,,,,,,,,,,,,,,probably 17th–18th century,1575,1825,Steel,H. 13 3/4 in. (34.9 cm); W. 8 3/4 in. (22.2 cm); D. 8 3/4 in. (22.2 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Helmets,,http://www.metmuseum.org/art/collection/search/26806,,,"Metropolitan Museum of Art, New York, NY",,,
1977.251.9,False,False,False,26807,,Arms and Armor,1977.0,Powderhorn with accessories,Powder Horn with Accessories,African,,,,,,,,,,,,,,,,,,late 19th century,1851,1900,"Horn (buffalo), leather, textile",L. 14 3.8 in. (36.5 cm); W. 5 7/16 in. (13.8 cm); D. 3 in. (7.6 cm); Wt. 1 lb. 11 oz. (765.4 g),"Rogers Fund, 1977",,,,,,,,,,,,Firearms Accessories-Powder Horns,,http://www.metmuseum.org/art/collection/search/26807,,,"Metropolitan Museum of Art, New York, NY",,,
