Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
14.25.1662,False,False,True,27460,,Arms and Armor,1914.0,Crinet,Crinet,Franco-Italian,,,,,1110,Armorer,Attributed to,Romain des Ursins,"Italian, Milan, recorded in Lyon 1493–95", ,"des Ursins, Romain",Italian,1493      ,1495      ,,,,"ca. 1480–95; bottom lame and mail fringe, restored ca. 1863–1900",1455,1900,Steel,"L. 33 7/8 in. (85.9 cm); W. 6 7/8 in. (17.5 cm); Wt. 9 lb. 10 oz. (4,360 g)","Gift of William H. Riggs, 1913",,,,,,,,,,,,Armor for Horse,,http://www.metmuseum.org/art/collection/search/27460,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1708 a-e,False,False,False,27462,,Arms and Armor,1936.0,Blade and mounting for a dagger (Tantō),Blade and Mounting for a Dagger (Tantō),Japanese,,,,,,,,,,,,,,,,,,"blade, 16th century; mounting, early 19th century",1501,1850,"Steel, wood, lacquer, copper, silver",L. 17 in. (43.2 cm); L. of blade 16 in. (40.6 cm); L. of cutting edge 10 11/16 in. (27.1 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Daggers,,http://www.metmuseum.org/art/collection/search/27462,,,"Metropolitan Museum of Art, New York, NY",,,
"29.100.1374a, b",False,False,False,27467,,Arms and Armor,1929.0,Blade and mounting for a dagger (Tantō),Blade and Mounting for a Dagger (Tantō),Japanese,,,,,,,,,,,,,,,,,,"blade, 16th century; mounting, late 19th century",1501,1900,"Steel, wood, lacquer, rayskin (samé), silver",L. 9 7/8 in. (25.1 cm); L. of blade 8 9/16 in. (21.8 cm); L. of cutting edge 6 1/16 in. (15.4 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Daggers,,http://www.metmuseum.org/art/collection/search/27467,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1697a–d,False,False,False,27468,,Arms and Armor,1936.0,Blade and mounting for a short sword (Wakizashi),Blade and Mounting for a Short Sword (Wakizashi),Japanese,,,,,,,,,,,,,,,,,,"blade, 19th century; mounting 19th century",1801,1900,"Steel, wood, lacquer, ray skin (samé), thread, copper-gold alloy (shakudō), gold, iron, brass",L. 22 in. (55.8 cm); L. of blade 17 3/8 in. (44.2 cm); L. of cutting edge 11 15/16 in. (30.3 cm); D. of curvature 1/16 in. (0.2 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/27468,,,"Metropolitan Museum of Art, New York, NY",,,
29.100.1367a–d,False,False,False,27469,,Arms and Armor,1929.0,Blade and mounting for a dagger (Tantō),Blade and Mounting for a Dagger (Tantō),Japanese,,,,,,,,,,,,,,,,,,"blade, 18th–19th century; mounting, 19th century",1701,1900,"Steel, wood, lacquer, copper, copper-silver alloy (shibuich), gold, iron",L. 12 9/16 in. (31.9 cm); L. of blade 8 9/16 in. (21.8 cm); L. of cutting edge 6 5/16 in. (16.1 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Daggers,,http://www.metmuseum.org/art/collection/search/27469,,,"Metropolitan Museum of Art, New York, NY",,,
"29.100.1360a, b",False,False,False,27471,,Arms and Armor,1929.0,Blade and mounting for a dagger (Tantō),Blade and Mounting for a Dagger (Tantō),Japanese,,,,,,,,,,,,,,,,,,"blade, possibly 19th century; mounting, 19th century",1775,1900,"Steel, wood, lacquer, rayskin (samé), silver, copper",L. 12 11/16 in. (32.2 cm); L. of blade 11 9/16 in. (29.4 cm); L. of cutting edge 7 13/16 in. (19.8 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Daggers,,http://www.metmuseum.org/art/collection/search/27471,,,"Metropolitan Museum of Art, New York, NY",,,
50.208,False,False,False,27472,,Arms and Armor,1950.0,Cup-hilted rapier,Cup-Hilted Rapier,French,,,,,,,,,,,,,,,,,,ca. 1643,1618,1668,"Steel, brass",L. 52 in. (132.1 cm); L. of blade 43 in. (109.2 cm); W. 12 in. (30.5 cm); D. 5 1/2 in. (14 cm); Wt. 2 lb. 15 oz. (878.8 g),"Rogers Fund, 1950",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/27472,,,"Metropolitan Museum of Art, New York, NY",,,
50.227,False,False,True,27473,,Arms and Armor,1950.0,Manuscript inventory,Illustrated Manuscript Inventory of an Armory for Sale by Lottery,German,,,,,,,,,,,,,,,,,,16th century,1501,1600,Vellum,12 9/16 x 8 3/8 in. (31.9 x 21.3 cm),"Rogers Fund, 1950",,,,,,,,,,,,Books & Manuscripts,,http://www.metmuseum.org/art/collection/search/27473,,,"Metropolitan Museum of Art, New York, NY",Armor,http://vocab.getty.edu/page/aat/300226591,https://www.wikidata.org/wiki/Q20793164
51.135a-c,False,False,False,27474,,Arms and Armor,1951.0,Model of a cannon with carriage,Model of a Cannon with Carriage,Italian,,,,,,,,,,,,,,,,,,18th century,1701,1800,"Bronze, wood, paint, iron",L. 31 1/4 in. (79.4 cm); W. 10 1/2 in. (26.7 cm); H. 8 in. (20.3 cm),"Gift of Mrs. Theodore Offerman, in memory of her husband, Theodore Offerman, 1951",,,,,,,,,,,,Miscellaneous,,http://www.metmuseum.org/art/collection/search/27474,,,"Metropolitan Museum of Art, New York, NY",,,
51.141,False,False,False,27475,,Arms and Armor,1951.0,Model of wheellock rifle,Model of Wheellock Rifle,German,,,,,,,,,,,,,,,,,,ca. 1700,1700,1700,"Steel, wood, ivory, mother-of-pearl, silver",L. 5 1/4 in. (13.3 cm); L. of barrel 3 3/8 in. (8.6 cm); Cal. .13 in. (3.3 mm); Wt. 1 1/4 oz.. (35.4 g),"Rogers Fund, 1951",,,,,,,,,,,,Firearms,,http://www.metmuseum.org/art/collection/search/27475,,,"Metropolitan Museum of Art, New York, NY",,,
51.170.3,False,False,False,27476,,Arms and Armor,1951.0,Parrying dagger,Parrying Dagger,Spanish,,,,,,,,,,,,,,,,,,early 17th century,1601,1750,"Steel, wire",L. 21 1/4 in. (54 cm); L. of blade 16 3/8 in. (41.6 cm); W. 13 7/16 in. (34.1 cm); W. of blade 1 1/8 in. (2.9 cm); D. 3 3/4 in. (9.5 cm); Wt. 1 lb. 8 oz. (680.4 g),"Gift of Alan Rutherfurd Stuyvesant, 1951",,,,,,,,,,,,Daggers,,http://www.metmuseum.org/art/collection/search/27476,,,"Metropolitan Museum of Art, New York, NY",,,
51.170.5,False,False,True,27477,,Arms and Armor,1951.0,Bit,Curb Bit,North Italian,,,,,,,,,,,,,,,,,,second half 16th century; 19th century,1550,1900,"Iron alloy, gold",H. 11 1/4 in. (28.6 cm); W. 5 1/4 in. (13.3 cm); Wt. 1 lb. 12.3 oz. (802.3 g),"Gift of Alan Rutherfurd Stuyvesant, 1951",,,,,,,,,,,,Equestrian Equipment-Bits,,http://www.metmuseum.org/art/collection/search/27477,,,"Metropolitan Museum of Art, New York, NY",,,
51.176.1–2,False,False,False,27478,,Arms and Armor,1951.0,Pair of magazine repeating flintlock pistols,Pair of Magazine Repeating Flintlock Pistols,Italian,,,,,,,,,,,,,,,,,,ca. 1700,1675,1725,"Steel, wood (walnut), bronze",51.176.1; L. 18 1/2 in. (47 cm); L. of barrel 10 1/4 in. (26 cm); Cal. .50 in (12.7 mm); Wt. 2 lb. 15.3 oz. (1340.9 g); 51.176.2; L. 18 3/4 in. (47.6 cm); L. of barrel 10 1/4 in. (26 cm); Cal. .50 in (12.7 mm); Wt. 2 lb. 15.6 oz. (1349.4 g),"Purchase, Joseph Pulitzer Bequest, 1951",,,,,,,,,,,,Firearms-Pistols-Flintlock,,http://www.metmuseum.org/art/collection/search/27478,,,"Metropolitan Museum of Art, New York, NY",,,
51.176.3,False,False,False,27479,,Arms and Armor,1951.0,Double barrel wheellock pistol,Double Barrel Wheellock Pistol,"German, possibly Nuremberg",,,,,,,,,,,,,,,,,,ca. 1600,1575,1625,"Steel, wood, brass, bone",L. 29 3/4 in. (75.6 cm); L. of barrels 20 13/16 in. (52.9 cm); Cal. .44 in (11.2 mm); Wt. 4 lb. 8.7 oz. (2061 g),"Purchase, Joseph Pulitzer Bequest, 1951",,Nuremberg,,,,,,,,,,Firearms-Pistols-Wheellock,,http://www.metmuseum.org/art/collection/search/27479,,,"Metropolitan Museum of Art, New York, NY",,,
51.176.4,False,False,False,27480,,Arms and Armor,1951.0,Double-barrel wheellock pistol,Double-Barrel Wheellock Pistol,"German, Nuremberg",,,,,,,,,,,,,,,,,,ca. 1625,1600,1650,"Steel, wood (ebony), bone, mother-of-pearl, lead",L. 28 1/4 in. (71.8 cm); L. of barrels 19 7/16 in. (49.4 cm); Cal. of barrel (a) .47 in (11.9 mm); Cal. of barrel (b) .50 in. (12.7 cm); Wt. 5 lb. 4.2 oz. (2387 g),"Purchase, Joseph Pulitzer Bequest, 1951",,Nuremberg,,,,,,,,,,Firearms-Pistols-Wheellock,,http://www.metmuseum.org/art/collection/search/27480,,,"Metropolitan Museum of Art, New York, NY",,,
51.176.5,False,False,False,27481,,Arms and Armor,1951.0,Three-barrel wheellock pistol,Three-Barrel Wheellock Pistol,German,,,,,,,,,,,,,,,,,,ca. 1610,1510,1635,"Steel, wood (rosewood), bone, mother-of-pearl, ivory",L. 15 1/2 in. (39.4 cm); L. of barrels 6 3/4 in. (17.1 cm); Cal. of barrels .43 in. (10.9 cm); Wt. 4 lb. 3 oz. (1911 g),"Purchase, Joseph Pulitzer Bequest, 1951",,,,,,,,,,,,Firearms-Pistols-Wheellock,,http://www.metmuseum.org/art/collection/search/27481,,,"Metropolitan Museum of Art, New York, NY",,,
51.184.1,False,False,True,27482,,Arms and Armor,1951.0,Halberd,Halberd,"American, Walpole, Massachusetts",,,,,,,,,,,,,,,,,,ca. 1750,1725,1775,"Steel, wood",L. 87 3/8 in. (221.9 cm); L. of head 14 1/2 in. (36.8 cm); W. 8 1/4 in. (21 cm); Wt. 3 lbs. 2.4 oz. (1428.8 g),"Gift of George A. Plimpton, 1951",,Walpole,,Massachusetts,,,,,,,,Shafted Weapons,,http://www.metmuseum.org/art/collection/search/27482,,,"Metropolitan Museum of Art, New York, NY",,,
