Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
53.600.3306,False,False,False,896189,,Drawings and Prints,1953,Print,"Dance, from Dorat's ""La Déclamation Théâtrale: Poème Didactique en quatre chants; précédé et suivi de quelques morceaux de prose""",,,,,La Déclamation Théâtrale: Poème Didactique en quatre chants; précédé et suivi de quelques morceaux de prose,956048012316357,Engraver|Author|Artist, | |After,Emmanuel Jean de Ghendt|Claude Joseph Dorat|Charles Dominique Joseph Eisen,"Flemish, Saint Niklaas 1738–1815 Paris|French, Paris, 1734–1780|French, Valenciennes 1720–1778 Brussels", | | ,"Ghendt, Emmanuel Jean de|Dorat, Claude Joseph|Eisen, Charles Dominique Joseph",Flemish|French|French,1738      |1734      |1720      ,1815      |1780      |1778      ,||,http://vocab.getty.edu/page/ulan/500079167|(not assigned)|http://vocab.getty.edu/page/ulan/500024830,https://www.wikidata.org/wiki/Q39264749|https://www.wikidata.org/wiki/Q361456|https://www.wikidata.org/wiki/Q2744998,1771,1766,1776,Etching and engraving,Sheet: 6 1/8 × 3 7/8 in. (15.6 × 9.9 cm),"Harris Brisbane Dick Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/896189,,,"Metropolitan Museum of Art, New York, NY",,,
NC320.Z9 L87 1962,True,False,False,896191,Watson Library,The Libraries,,,Sketches from a women's labour camp,,,,,,22236,Artist, ,Esther Lurie,"Israeli (born Latvia), Liepāja 1913–1998 Tel Aviv", ,"Lurie, Esther",Israeli,1913      ,1998      ,,,,1962,1962,1962,,46 pages in various pagings : illustrations,,,Tel Aviv,,,Israel,,,,,,,,,http://www.metmuseum.org/art/collection/search/896191,,,"Metropolitan Museum of Art, New York, NY",,,
60.622.61,False,False,False,896193,,Drawings and Prints,1960,Print,Autumn,,,,,,16357,Artist and engraver, ,Charles Dominique Joseph Eisen,"French, Valenciennes 1720–1778 Brussels", ,"Eisen, Charles Dominique Joseph",French,1720      ,1778      ,,http://vocab.getty.edu/page/ulan/500024830,https://www.wikidata.org/wiki/Q2744998,18th century,1750,1775,Etching,Sheet: 3 3/16 × 4 1/2 in. (8.1 × 11.4 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1960",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/896193,,,"Metropolitan Museum of Art, New York, NY",,,
N6537.C48 A4 1993a,True,False,False,896196,Watson Library,The Libraries,,,Holocaust project exhibition packet,,,,,,,,,,,,,,,,,,,1993,1993,1993,,"1 volume (various paginations), 48 slides ; Height: 11 7/16 in. (29 cm)",Gift of Tom Freudenheim,,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/896196,,,"Metropolitan Museum of Art, New York, NY",,,
66.554.19,False,False,False,896198,,Drawings and Prints,1966,Print,"Raynal writing his book, from Raynal's ""Histoire des deux Indes""",,,,,Histoire des deux Indes,1635789038,Artist|Engraver,After| ,Charles Dominique Joseph Eisen|Nicolas de Launay,"French, Valenciennes 1720–1778 Brussels|French, Paris, 1739–1792", | ,"Eisen, Charles Dominique Joseph|Launay, Nicolas de",French|French,1720      |1739      ,1778      |1792      ,|,http://vocab.getty.edu/page/ulan/500024830|http://vocab.getty.edu/page/ulan/500024572,https://www.wikidata.org/wiki/Q2744998|https://www.wikidata.org/wiki/Q19629062,ca. 1770,1765,1775,Etching and engraving,Sheet: 8 9/16 × 5 7/8 in. (21.8 × 15 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1966",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/896198,,,"Metropolitan Museum of Art, New York, NY",,,
D805.C95 K44 1992 Folio,True,False,False,896201,Watson Library,The Libraries,,,"71125, fifty years of silence : Eva Kellner's story",,,,,,22236,Artist, ,Tana Kellner,"American, born Czechoslovakia, 1950", ,"Kellner, Tana",American,1950      ,9999      ,,,,1992,1992,1992,,"52 pages : illustrations, portraits ; Height: 11 13/16 × 20 1/16 in. (30 cm)",Gift of Robert J. Ruben and Yvonne Korshak Ruben,,Rosendale,,New York,,,,,,,,,,http://www.metmuseum.org/art/collection/search/896201,,,"Metropolitan Museum of Art, New York, NY",,,
66.554.20,False,False,False,896202,,Drawings and Prints,1966,Print,"Raynal writing his book, from Raynal's ""Histoire des deux Indes""",,,,,Histoire des deux Indes,1635789038,Artist|Engraver,After| ,Charles Dominique Joseph Eisen|Nicolas de Launay,"French, Valenciennes 1720–1778 Brussels|French, Paris, 1739–1792", | ,"Eisen, Charles Dominique Joseph|Launay, Nicolas de",French|French,1720      |1739      ,1778      |1792      ,|,http://vocab.getty.edu/page/ulan/500024830|http://vocab.getty.edu/page/ulan/500024572,https://www.wikidata.org/wiki/Q2744998|https://www.wikidata.org/wiki/Q19629062,ca. 1770,1765,1775,Etching and engraving,Sheet: 8 9/16 × 5 7/8 in. (21.8 × 15 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1966",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/896202,,,"Metropolitan Museum of Art, New York, NY",,,
51.501.5746,False,False,False,896204,,Drawings and Prints,1951,Print,St Jerome writing,,,,,,16357,Artist and engraver, ,Charles Dominique Joseph Eisen,"French, Valenciennes 1720–1778 Brussels", ,"Eisen, Charles Dominique Joseph",French,1720      ,1778      ,,http://vocab.getty.edu/page/ulan/500024830,https://www.wikidata.org/wiki/Q2744998,1750–75,1745,1780,Etching,Sheet: 4 5/16 × 2 7/8 in. (11 × 7.3 cm),"Harris Brisbane Dick Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/896204,,,"Metropolitan Museum of Art, New York, NY",,,
19.20.17,False,False,False,896208,,Drawings and Prints,1919,Print,"Book illustration (old man holding book surrounded by nude women, putti and flower garlands)",,,,,,9038216357,Engraver|Artist, |After,Nicolas de Launay|Charles Dominique Joseph Eisen,"French, Paris, 1739–1792|French, Valenciennes 1720–1778 Brussels", | ,"Launay, Nicolas de|Eisen, Charles Dominique Joseph",French|French,1739      |1720      ,1792      |1778      ,|,http://vocab.getty.edu/page/ulan/500024572|http://vocab.getty.edu/page/ulan/500024830,https://www.wikidata.org/wiki/Q19629062|https://www.wikidata.org/wiki/Q2744998,1775,1770,1780,Etching and engraving,Sheet: 6 3/4 × 4 5/8 in. (17.2 × 11.7 cm),"Rogers Fund, 1919",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/896208,,,"Metropolitan Museum of Art, New York, NY",,,
N6833.T47 I1 1993,True,False,False,896209,Watson Library,The Libraries,,,I have not seen a butterfly around here : children's drawings and poems from Terezín,,,,,,,,,,,,,,,,,,,1993,1993,1993,,90 pages : illustrations ; Height: 9 13/16 in. (25 cm),,,Prague,,,Czech Republic,,,,,,,,,http://www.metmuseum.org/art/collection/search/896209,,,"Metropolitan Museum of Art, New York, NY",,,
