Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
"36.25.1387a, b",False,False,False,31210,,Arms and Armor,1936.0,Sword with scabbard,Sword with Scabbard,Javanese,,,,,,,,,,,,,,,,,,16th–19th century,1501,1900,"Cane, horn, bone",H. with scabbard 26 in. (66 cm); H. without scabbard 24 1/8 in. (61.3 cm); W. 3 3/4 in. (9.5 cm); Wt. 1 lb. 8.3 oz. (688.9 g); Wt. of scabbard 7 oz. (198.4 g),"Bequest of George C. Stone, 1935",,,,Jawa,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31210,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1388,False,False,True,31211,,Arms and Armor,1936.0,Executioner's sword,Executioner's Sword,"Indonesian, Sulawesi",,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,Brass,L. 23 1/2 in. (59.7 cm); L. of blade 18 in. (45.7 cm); W. 6 in. (15.2 cm); Wt. 1 lb. 10 oz. (737.1 g),"Bequest of George C. Stone, 1935",,,,Sulawesi,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31211,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1390a, b",False,False,False,31212,,Arms and Armor,1936.0,Sword (Parang latok) with scabbard,Sword (Parang Latok) with Scabbard,Dyak,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,"Wood, iron, rattan",H. with scabbard 31 3/4 in. (80.6 cm); H. without scabbard 28 13/16 in. (73.2 cm); W. 4 in. (10.2 cm); Wt. 2 lb. 3 oz. (992.2 g); Wt. of scabbard 4.5 oz. (127.6 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31212,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1391a, b",False,False,False,31213,,Arms and Armor,1936.0,Saber with scabbard,Saber with Scabbard,Javanese,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,"Wood, brass, horn",H. with scabbard 31 1/2 in. (80 cm); H. without scabbard 29 1/2 in. (74.9 cm); W. 3 3/4 in. (9.5 cm); Wt. 2 lb. 5.5 oz. (1063.1 g); Wt. of scabbard 6.4 oz. (181.4 g),"Bequest of George C. Stone, 1935",,,,Jawa,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31213,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1392a, b",False,False,True,31214,,Arms and Armor,1936.0,Sword with scabbard,Sword with Scabbard,Sumatran,,,,,,,,,,,,,,,,,,16th–19th century,1501,1900,"Wood, rattan, cord",L. with scabbard 23 1/2 in. (59.7 cm); L. without scabbard 22 3/4 in. (57.8 cm); W. 2 3/4 in. (7 cm); Wt. 15.4 oz. (436.6 g); Wt. of scabbard 5.1 oz. (144.6 g),"Bequest of George C. Stone, 1935",,,,Sumatra,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31214,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1393a, b",False,False,True,31215,,Arms and Armor,1936.0,Sword with scabbard,Sword with Scabbard,Dyak,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,"Wood, lead",L. with scabbard 25 in. (63.5 cm); L. without scabbard 22 in. (55.9 cm); L. of blade 15 in. (38.1 cm); W. 3 in. (7.6 cm); Wt. 1 lb. 6.9 oz. (649.2 g); Wt. of scabbard 4.8 oz. (136.1 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31215,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1394a, b",False,False,True,31216,,Arms and Armor,1936.0,Sword with scabbard,Sword with Scabbard,Acheen,,,,,,,,,,,,,,,,,,16th–19th century,1501,1900,"Wood, horn, rattan, metal",L. with scabbard 33 1/4 in. (84.5 cm); L. without scabbard 32 1/2 in. (82.6 cm); L. of blade 26 in. (66 cm); W. 3 5/8 in. (9.2 cm); Wt. 1 lb. 8.8 oz. (703.1 g); Wt. of scabbard 8.6 oz. (243.8 g),"Bequest of George C. Stone, 1935",,Aceh,,Sumatra,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31216,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1395,False,False,True,31217,,Arms and Armor,1936.0,Sword (Klewang),Sword (Klewang),Acheen,,,,,,,,,,,,,,,,,,16th–19th century,1501,1900,"Wood, lead",L. 25 1/4 in. (64.1 cm); L. of blade 19 in. (48.2 cm); W. 3 3/4 in. (9.5 cm); Wt. 1 lb. 12 oz. (793.8 g),"Bequest of George C. Stone, 1935",,Aceh,,Sumatra,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31217,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1396a, b",False,False,True,31218,,Arms and Armor,1936.0,Sword with scabbard,Sword with Scabbard,"Indonesian, Gorontalo",,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,"Wood, tin foil",L. with scabbard 28 3/4 in. (73 cm); L. without scabbard 24 1/8 in. (61.3 cm); W. 5 9/16 in. (14.1 cm); Wt. 1 lb. 0.8 oz. (476.3 g); Wt. of scabbard 5 oz. (141.7 g),"Bequest of George C. Stone, 1935",,Gorontalo,,Sulawesi Utara,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31218,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1397a, b",False,False,True,31219,,Arms and Armor,1936.0,Sword (Klewang) with scabbard,Sword (Klewang) with Scabbard,"Indonesian, Sulawesi",,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,"Wood, rattan, silver",L. with scabbard 27 1/8 in. (68.9 cm); L. without scabbard 25 3/4 in. (65.4 cm); L. of blade 20 in. (50.8 cm); W. 4 in. (10.2 cm); Wt. 1 lb. 8.8 oz. (703.1 ); Wt. of scabbard 7.5 oz. (212.6 g),"Bequest of George C. Stone, 1935",,,,Sulawesi,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31219,,,"Metropolitan Museum of Art, New York, NY",,,
