Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
36.25.2495a–j,False,False,False,30409,,Arms and Armor,1936.0,Crossbow with nine bolts,Crossbow with Nine Bolts,Chinese,,,,,,,,,,,,,,,,,,probably 19th century,1775,1925,Steel and wood,"a) L. 23-1/2 in. (652.0 cm); W. 18 in. (510.3 cm);
b-j) L. 8 in. (226.8 cm)","Bequest of George C. Stone, 1935",,,,,,,,,,,,Archery Equipment-Crossbows,,http://www.metmuseum.org/art/collection/search/30409,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.2496,False,False,False,30410,,Arms and Armor,1936.0,Slur bow,Crossbow (Slur Bow),Chinese,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,Wood,L. 15-1/8 in. (425.2 cm); W. 10-1/2 in. (283.5 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Archery Equipment-Bows,,http://www.metmuseum.org/art/collection/search/30410,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.2497,False,False,False,30411,,Arms and Armor,1936.0,Bow,Bow,Persian,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,,H. 22 3/8 in. (56.8 cm); W. 2 1/4 in. (5.7 cm); D. 15 3/8 in. (39.1 cm); Wt. 1 lb. 14.8 oz. (874 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Archery Equipment-Bows,,http://www.metmuseum.org/art/collection/search/30411,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.2498a–g,False,False,False,30412,,Arms and Armor,1936.0,Bow with six arrows,Bow with Six Arrows,Persian,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,,,"Bequest of George C. Stone, 1935",,,,,,,,,,,,Archery Equipment-Bows,,http://www.metmuseum.org/art/collection/search/30412,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.2499,False,False,False,30413,,Arms and Armor,1936.0,Bow,Bow,Persian,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,,L. 18 1/2 in. (47 cm); W. 2 1/8 in. (5.4 cm),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Archery Equipment-Bows,,http://www.metmuseum.org/art/collection/search/30413,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.2311,False,False,False,30414,,Arms and Armor,1936.0,Powder flask (Barutdan),Powder Flask (Barutdan),Indian,,,,,,,,,,,,,,,,,,18th century,1701,1800,"Sea shell, bone",L. 6 3/4 in. (17.1 cm); D. 4 1/4 in. (10.8 cm); Wt. 1 lb. 5.3 oz. (603.8 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Firearms Accessories-Flasks & Primers,,http://www.metmuseum.org/art/collection/search/30414,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.2312,False,False,False,30415,,Arms and Armor,1936.0,Primer,Primer,Chinese,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,"Orange skin, textile, brass",H. including strap 11 in. (27.9 cm); H. excluding strap 3 1/4 in. (8.3 cm); W. 2 1/2 in. (6.4 cm); D. 2 in. (5.1 cm); Wt. 1.7 oz. (48.2 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Firearms Accessories-Flasks & Primers,,http://www.metmuseum.org/art/collection/search/30415,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.2313,False,False,False,30416,,Arms and Armor,1936.0,Primer,Primer,Persian,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,"Steel, gold",L. 5 1/2 in. (14 cm); D. 1 1/2 in. (3.8 cm); Wt. 4 oz. (113.4 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Firearms Accessories-Flasks & Primers,,http://www.metmuseum.org/art/collection/search/30416,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.2315a, b",False,False,False,30417,,Arms and Armor,1936.0,Primer (Shakh-dahana),Primer (Shakh-dahana),Persian,,,,,,,,,,,,,,,,,,19th century,1801,1900,"Brass, silver, turquoise",L. 8 7/8 in. (22.5 cm); D. 8 1/2 in. (21.6 cm); Wt. 3.3 oz. (93.6 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Firearms Accessories-Flasks & Primers,,http://www.metmuseum.org/art/collection/search/30417,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.2316a, b",False,False,False,30418,,Arms and Armor,1936.0,Primer,Primer,Persian,,,,,,,,,,,,,,,,,,19th century,1801,1900,Brass,L. 8 3/4 in. (22.2 cm); D. 1 1/2 in. (3.8 cm); Wt. 4 oz. (113.4 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Firearms Accessories-Flasks & Primers,,http://www.metmuseum.org/art/collection/search/30418,,,"Metropolitan Museum of Art, New York, NY",,,
