Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
"30.120.299a, b",False,False,True,2485,774,The American Wing,1930.0,Sugar bowl,Covered Sugar Bowl,American or British,,,,,,,,,,,,,,,,,,1780–1820,1780,1820,Blown pattern-molded lead glass,H. 5 3/4 in. (14.6 cm); Diam. 4 1/4 in. (10.8 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",Possibly made in|Possibly made in,,,,United States|England,,,,,,,,,http://www.metmuseum.org/art/collection/search/2485,https://www.wikidata.org/wiki/Q116371359,,"Metropolitan Museum of Art, New York, NY",,,
"34.100.154a, b",False,False,True,2486,774,The American Wing,1934.0,Sugar bowl,Covered Sugar Bowl,American,,,,,,,,,,,,,,,,,,ca. 1800,1797,1800,Earthenware with slip decoration,H. 3 5/8 in. (9.2 cm); Diam. 5 1/8 in. (13 cm),"Gift of Mrs. Robert W. de Forest, 1933",Possibly made in|Possibly made in,,,,United States|United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2486,https://www.wikidata.org/wiki/Q116371354,,"Metropolitan Museum of Art, New York, NY",,,
"42.149.3a, b",False,False,True,2487,774,The American Wing,1942.0,Sugar bowl,Covered Sugar Bowl,Chinese,,,,,,,,,,,,,,,,,,1770–1830,1770,1830,Porcelain,H. 5 3/4 in. (14.6 cm),"Gift of Mrs. J. Insley Blair, 1942",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/2487,https://www.wikidata.org/wiki/Q116371346,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297
"46.140.148a, b",False,False,True,2488,774,The American Wing,1946.0,Sugar bowl,Covered Sugar Bowl,American,,,,,,,,,,,,,,,,,,1830–70,1830,1870,Pressed glass,H. 4 1/4 in. (10.8 cm); Diam. 4 11/16 in. (11.9 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2488,https://www.wikidata.org/wiki/Q116371351,,"Metropolitan Museum of Art, New York, NY",,,
"46.140.336a, b",False,False,True,2489,706,The American Wing,1946.0,Sugar bowl,Sugar bowl,American,,,,,,,,,,,,,,,,,,1840–60,1840,1860,Pressed glass,H. 7 1/2 in. (19.1 cm); Diam. 4 1/2 in. (11.4 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Possibly made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2489,https://www.wikidata.org/wiki/Q116371348,,"Metropolitan Museum of Art, New York, NY",,,
"47.41a, b",False,False,True,2490,706,The American Wing,1947.0,Sugar bowl,Sugar bowl,American,,,,,,,,,,,,,,,,,,1815–35,1815,1835,Blown-molded glass,H. 6 3/4 in. (17.1 cm),"Rogers Fund, 1947",Probably made in,Zanesville,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2490,https://www.wikidata.org/wiki/Q116371343,,"Metropolitan Museum of Art, New York, NY",,,
"47.90.113a, b",False,False,True,2491,774,The American Wing,1947.0,Sugar bowl,Covered Sugar Bowl,American,,,,,,,,,,,,,,,,,,1830–70,1830,1870,Parian porcelain,H. 4 1/4 in. (10.8 cm); Diam. 4 7/8 in. (12.4 cm),"Gift of Dr. Charles W. Green, 1947",Probably made in,Bennington,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2491,https://www.wikidata.org/wiki/Q116371345,,"Metropolitan Museum of Art, New York, NY",,,
"48.172.2a, b",False,False,True,2492,774,The American Wing,1948.0,Sugar bowl,Covered Sugar Bowl,Chinese,,,,,,,,,,,,,,,,,,ca. 1790,1787,1790,Porcelain,5 1/4 in. (13.3 cm),"Gift of Charles K. Davis, 1948",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/2492,https://www.wikidata.org/wiki/Q116371342,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297
"51.171.27a, b",False,False,True,2493,774,The American Wing,1951.0,Sugar bowl,Covered Sugar Bowl,American,,,,,,,,,,,,,,,,,,1835–45,1835,1845,Lacy pressed glass,H. 6 3/16 in. (15.7 cm),"Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951",Probably made in,,,,United States,Midwest ,,,,,,,,http://www.metmuseum.org/art/collection/search/2493,https://www.wikidata.org/wiki/Q116371327,,"Metropolitan Museum of Art, New York, NY",,,
"51.171.31a, b",False,False,True,2494,774,The American Wing,1951.0,Sugar bowl,Covered Sugar Bowl,American,,,,,,,,,,,,,,,,,,ca. 1835,1832,1835,Lacy pressed glass,H. 5 11/16 in. (14.4 cm),"Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951",Probably made in,,,,United States,Midwest ,,,,,,,,http://www.metmuseum.org/art/collection/search/2494,https://www.wikidata.org/wiki/Q116371340,,"Metropolitan Museum of Art, New York, NY",,,
"51.171.184a, b",False,False,False,2495,774,The American Wing,1951.0,Sugar bowl,Covered Sugar Bowl,,,,,,,,,,,,,,,,,,,19th century,1800,1900,Lacy pressed glass,H. 5 7/8 in. (14.9 cm),"Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/2495,https://www.wikidata.org/wiki/Q116391277,,"Metropolitan Museum of Art, New York, NY",,,
"51.171.186a, b",False,False,True,2496,774,The American Wing,1951.0,Sugar bowl,Covered Sugar Bowl,American,,,,,,,,,,,,,,,,,,1835–50,1835,1850,Pressed glass,H. 6 in. (15.2 cm),"Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951",Probably made in,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2496,https://www.wikidata.org/wiki/Q116371332,,"Metropolitan Museum of Art, New York, NY",,,
"51.171.187a, b",False,False,True,2497,774,The American Wing,1951.0,Sugar bowl,Covered Sugar Bowl,American,,,,,,,,,,,,,,,,,,1830–40,1830,1840,Lacy pressed glass,H. 5 5/8 in. (14.3 cm),"Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951",Made in,,,,United States,New England ,,,,,,,,http://www.metmuseum.org/art/collection/search/2497,https://www.wikidata.org/wiki/Q116371328,,"Metropolitan Museum of Art, New York, NY",,,
"46.140.549a, b",False,False,True,2499,774,The American Wing,1946.0,Sugar bowl,Covered Sugar Bowl,American,,,,,123,Maker, ,Adams and Company, , ,Adams and Company ,American,          ,9999      ,,(not assigned),https://www.wikidata.org/wiki/Q56033713,1870–90,1870,1890,Pressed yellow glass,H. 8 1/4 in. (21 cm); Diam. 4 1/4 in. (10.8 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2499,https://www.wikidata.org/wiki/Q116371337,,"Metropolitan Museum of Art, New York, NY",,,
"1971.181a, b",False,False,True,2500,774,The American Wing,1971.0,Sugar bowl,Covered Sugar Bowl,American,,,,,113,Maker, ,Boston & Sandwich Glass Company,"American, 1825–1888, Sandwich, Massachusetts", ,Boston and Sandwich Glass Company ,American,1825      ,1888      ,,http://vocab.getty.edu/page/ulan/500334773,https://www.wikidata.org/wiki/Q4948224,1830–70,1830,1870,Pressed glass,H. 8 11/16 in. (22.1 cm),"Gift of Mary and Bradford Kelleher, 1971",Made in,Sandwich,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2500,https://www.wikidata.org/wiki/Q116371335,,"Metropolitan Museum of Art, New York, NY",,,
"1985.18a, b",False,False,True,2501,704,The American Wing,1985.0,Sugar bowl,Sugar bowl,American,,,,,113,Maker, ,Boston & Sandwich Glass Company,"American, 1825–1888, Sandwich, Massachusetts", ,Boston and Sandwich Glass Company ,American,1825      ,1888      ,,http://vocab.getty.edu/page/ulan/500334773,https://www.wikidata.org/wiki/Q4948224,1830–40,1830,1840,Blown glass,H. 7 in. (17.8 cm); Diam. 5 1/4 in. (13.3 cm),"Purchase, Judith F. and William H. Hernstadt Gift, 1985",Made in,Sandwich,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2501,https://www.wikidata.org/wiki/Q116371330,,"Metropolitan Museum of Art, New York, NY",,,
"46.140.642a, b",False,False,True,2502,774,The American Wing,1946.0,Sugar bowl,Covered Sugar Bowl,American,,,,,122,Maker, ,"Challinor, Taylor and Company",1866–1891, ,"Challinor, Taylor and Company ",American,1866      ,1891      ,,,,1870–90,1870,1890,Pressed purple marble glass,H. 8 1/2 in. (21.6 cm); Diam. 4 1/2 in. (11.4 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Tarentum,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2502,https://www.wikidata.org/wiki/Q116371334,,"Metropolitan Museum of Art, New York, NY",,,
"1982.440.2a, b",False,False,True,2503,774,The American Wing,1982.0,Sugar bowl,Covered Sugar Bowl,American,,,,,147,Maker, ,Chelsea Keramic Art Works,1872–1889, ,Chelsea Keramic Art Works ,American,1872      ,1889      ,,,,1879–83,1879,1883,Earthenware,H. 4 1/4 in. (10.8 cm); Diam. 3 1/2 in. (8.9 cm),"Gift of Mr. and Mrs. I. Wistar Morris III, 1982",Made in,Chelsea,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2503,https://www.wikidata.org/wiki/Q116371339,,"Metropolitan Museum of Art, New York, NY",,,
"23.80.23a, b",False,False,True,2504,704,The American Wing,1923.0,Sugar bowl,Covered sugar bowl,American,,,,,147,Maker, ,William W. Gilbert,1746–1832, ,"Gilbert, William W.",American,1746      ,1832      ,,(not assigned),https://www.wikidata.org/wiki/Q67472572,1790–1800,1790,1800,Silver,"Overall: H. 9 3/4 in. (24.8 cm); 12 oz. 9 dwt. (387.6 g)
Lip: Diam. 4 7/16 in. (11.3 cm)
Body: H. 5 3/4 in. (14.6 cm); 7 oz. 14 dwt. (239.4 g)
Cover: 4 1/4 x 4 1/8 in. (10.8 x 10.5 cm); 4 oz. 15 dwt. (148.2 g)
Foot: 2 7/8 x 2 7/8 in. (7.3 x 7.3 cm)","Gift of Mr. and Mrs. William A. Moore, 1923",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2504,https://www.wikidata.org/wiki/Q116371326,,"Metropolitan Museum of Art, New York, NY",,,
"46.140.443a, b",False,False,True,2505,774,The American Wing,1946.0,Sugar bowl,Covered Hobnail Sugar Bowl,American,,,,,124,Maker,Probably,"Hobbs, Brockunier and Company",1863–1891, ,"Hobbs, Brockunier and Company ",American,1863      ,1891      ,,http://vocab.getty.edu/page/ulan/500330432,https://www.wikidata.org/wiki/Q16997505,after 1886,1887,1896,"Pressed cranberry, opalescent and colorless glass",H. 5 3/4 in. (14.6 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Wheeling,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2505,https://www.wikidata.org/wiki/Q116371323,,"Metropolitan Museum of Art, New York, NY",,,
"1982.313a, b",False,False,False,2506,706,The American Wing,1982.0,Sugar bowl,Sugar bowl,American,,,,,147,Maker, ,C. Ihmsen Company, , ,Ihmsen Company C.,American,          ,9999      ,,,,1850–60,1850,1860,Pressed glass,H. 3 3/8 in. (8.6 cm),"Purchase, Isaac Arnold Jr. Gift and Sansbury-Mills Fund, 1982",Made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2506,https://www.wikidata.org/wiki/Q116371322,,"Metropolitan Museum of Art, New York, NY",,,
"69.194.7a, b",False,False,True,2507,774,The American Wing,1969.0,Sugar bowl,Sugar bowl,American,,,,,1355127,Designer|Manufacturer,Designed by|Manufactured by,Karl L. H. Müller|Union Porcelain Works,1820–1887|1863–1922, | ,"Müller, Karl L. H.|Union Porcelain Works ",American|American,1820      |1863      ,1890      |1922      ,|,http://vocab.getty.edu/page/ulan/500332076|http://vocab.getty.edu/page/ulan/500333024,|https://www.wikidata.org/wiki/Q18356506,ca. 1876,1873,1876,Porcelain,4 3/4 x 4 1/2 in. (12.1 x 11.4 cm),"Gift of Mr. and Mrs. Franklin Chace, 1969",Made in,Brooklyn,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2507,,,"Metropolitan Museum of Art, New York, NY",Heads|Men|Birds|Flowers,http://vocab.getty.edu/page/aat/300375054|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q3409626|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q506
