Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
1981.446.3,False,False,False,12621,,The American Wing,1981.0,Drawing,Mother and Child at a Stream,American,,,,,291,Artist, ,Xanthus Russell Smith,1839–1929, ,"Smith, Xanthus Russell",American,1839      ,1929      ,,http://vocab.getty.edu/page/ulan/500009483,https://www.wikidata.org/wiki/Q8043131,1870,1870,1870,Graphite on paper,11 7/8 x 7 7/8 in. (30.2 x 20 cm),"Gift of Mr. and Mrs. Stuart P. Feld, 1981",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12621,,,"Metropolitan Museum of Art, New York, NY",Women|Trees,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q10884
1981.287,False,False,False,12622,,The American Wing,1981.0,Drawing,Tree Struck by Lightning,American,,,,,291,Artist, ,Xanthus Russell Smith,1839–1929, ,"Smith, Xanthus Russell",American,1839      ,1929      ,,http://vocab.getty.edu/page/ulan/500009483,https://www.wikidata.org/wiki/Q8043131,1861,1861,1861,Graphite on mauve prepared wove paper,11 1/2 x 14 1/4 in. (29.2 x 36.2 cm),"Morris K. Jesup and Maria DeWitt Jesup Funds, 1981",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12622,,,"Metropolitan Museum of Art, New York, NY",Trees,http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q10884
1970.9.3,False,False,True,12623,,The American Wing,1970.0,Watercolor,"Wood Carrier, near Amalfi (from Cropsey Album)",American,,,,,291,Artist, ,George Snell,1820–1893, ,"Snell, George",American,1820      ,1893      ,,,https://www.wikidata.org/wiki/Q20204384,1878,1878,1878,"Graphite, gouache, and watercolor on brown wove paper",7 1/2 x 5 3/8 in. (19.1 x 13.7 cm),"Purchase, Charles and Anita Blatt Gift, 1970",Possibly made in,,,,England,,,,,,,,,http://www.metmuseum.org/art/collection/search/12623,https://www.wikidata.org/wiki/Q20179087,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467
1974.213.1 recto,False,False,False,12624,,The American Wing,1974.0,Drawing,The Brandywine in Winter,American,,,,,291,Artist, ,William Sommer,1867–1949, ,"Sommer, William",American,1867      ,1949      ,,http://vocab.getty.edu/page/ulan/500002148,https://www.wikidata.org/wiki/Q8018612,ca. 1923–25,1920,1925,Oil on cardboard,14 3/4 x 20 in. (37.5 x 50.8 cm),"Gift of Joseph, Elsie, and Connie Erdelac, 1974",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12624,https://www.wikidata.org/wiki/Q20177787,,"Metropolitan Museum of Art, New York, NY",Houses|Winter,http://vocab.getty.edu/page/aat/300005433|http://vocab.getty.edu/page/aat/300133101,https://www.wikidata.org/wiki/Q3947|https://www.wikidata.org/wiki/Q1311
1975.67.1,False,False,False,12625,,The American Wing,1975.0,Drawing,Lantern and Leaves,American,,,,,291,Artist, ,William Sommer,1867–1949, ,"Sommer, William",American,1867      ,1949      ,,http://vocab.getty.edu/page/ulan/500002148,https://www.wikidata.org/wiki/Q8018612,1891,1891,1891,Graphite on paper,Sight: 17 1/2 x 12 in. (44.5 x 30.5 cm),"Gift of Joseph, Elsie, and Connie Erdelac, 1975",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12625,,,"Metropolitan Museum of Art, New York, NY",Lanterns,http://vocab.getty.edu/page/aat/300037647,https://www.wikidata.org/wiki/Q862454
1974.213.2,False,False,False,12626,,The American Wing,1974.0,Watercolor,Still Life with Apples,American,,,,,291,Artist, ,William Sommer,1867–1949, ,"Sommer, William",American,1867      ,1949      ,,http://vocab.getty.edu/page/ulan/500002148,https://www.wikidata.org/wiki/Q8018612,ca. 1929–35,1926,1935,"Watercolor, ink, and black crayon on off-white wove paper",7 3/16 x 10 3/4 in. (18.3 x 27.3 cm),"Gift of Joseph, Elsie, and Connie Erdelac, 1974",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12626,,,"Metropolitan Museum of Art, New York, NY",Apples|Still Life,http://vocab.getty.edu/page/aat/300266417|http://vocab.getty.edu/page/aat/300015638,https://www.wikidata.org/wiki/Q89|https://www.wikidata.org/wiki/Q170571
1974.213.3 recto,False,False,False,12627,,The American Wing,1974.0,Watercolor,Technicolor Boy (At Ease),American,,,,,291,Artist, ,William Sommer,1867–1949, ,"Sommer, William",American,1867      ,1949      ,,http://vocab.getty.edu/page/ulan/500002148,https://www.wikidata.org/wiki/Q8018612,ca. 1932–35,1929,1935,Watercolor and black ink on paper,15 x 11 in. (38.1 x 27.9 cm),"Gift of Joseph, Elsie, and Connie Erdelac, 1974",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12627,,,"Metropolitan Museum of Art, New York, NY",Boys,http://vocab.getty.edu/page/aat/300247598,https://www.wikidata.org/wiki/Q3010
1975.67.2,False,False,False,12628,,The American Wing,1975.0,Drawing,Winter Trees,American,,,,,291,Artist, ,William Sommer,1867–1949, ,"Sommer, William",American,1867      ,1949      ,,http://vocab.getty.edu/page/ulan/500002148,https://www.wikidata.org/wiki/Q8018612,1890,1890,1890,Graphite on paper,Sight: 18 x 12 1/2 in. (45.7 x 31.8 cm),"Gift of Joseph, Elsie, and Connie Erdelac, 1975",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12628,,,"Metropolitan Museum of Art, New York, NY",Trees|Winter,http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/aat/300133101,https://www.wikidata.org/wiki/Q10884|https://www.wikidata.org/wiki/Q1311
1977.475,False,False,True,12629,,The American Wing,1977.0,Watercolor,Frontier Cabin,American,,,,,205,Artist, ,William Louis Sonntag,1822–1900, ,"Sonntag, William Louis",American,1822      ,1900      ,,http://vocab.getty.edu/page/ulan/500010750,https://www.wikidata.org/wiki/Q8014712,1894,1894,1894,"Watercolor, guache, and graphite on off-white wove paper",9 11/16 x 15 1/4 in. (24.6 x 38.7 cm),"Morris K. Jesup Fund, 1977",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12629,https://www.wikidata.org/wiki/Q20179101,,"Metropolitan Museum of Art, New York, NY",Bridges|Landscapes,http://vocab.getty.edu/page/aat/300386855|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q12280|https://www.wikidata.org/wiki/Q191163
1976.154,False,False,True,12630,,The American Wing,1976.0,Painting,Landscape with Waterfall and Figures,American,,,,,205,Artist, ,William Louis Sonntag,1822–1900, ,"Sonntag, William Louis",American,1822      ,1900      ,,http://vocab.getty.edu/page/ulan/500010750,https://www.wikidata.org/wiki/Q8014712,ca. 1865,1862,1865,Oil on canvas,36 x 51 in. (91.4 x 129.5 cm),"Gift of Erving Wolf Foundation, in memory of Diane R. Wolf, 1976",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12630,https://www.wikidata.org/wiki/Q19930653,,"Metropolitan Museum of Art, New York, NY",Waterfalls|Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008736|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q34038|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163
