Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
1984.395.1,False,False,True,1513,705,The American Wing,1984.0,Celery vase,Celery vase,American,,,,,115,Manufacturer, ,United States Pottery Company,1852–58, ,United States Pottery Company ,American,1852      ,1852      ,,,,1849–58,1849,1858,Earthenware,H. 10 in. (25.4 cm),"Gift of Mrs. Stanley Herzman, 1984",Made in,Bennington,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1513,https://www.wikidata.org/wiki/Q116372117,,"Metropolitan Museum of Art, New York, NY",,,
46.140.26,False,False,True,1514,706,The American Wing,1946.0,Celery vase,Celery vase,American,,,,,,,,,,,,,,,,,,1850–70,1850,1870,"Pressed glass, diamond thumbprint",H. 9 3/4 in. (24.8 cm); Diam. 5 1/4 in. (13.3 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Probably made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1514,https://www.wikidata.org/wiki/Q116372105,,"Metropolitan Museum of Art, New York, NY",,,
46.140.27,False,False,True,1515,774,The American Wing,1946.0,Celery vase,Celery Vase,American,,,,,,,,,,,,,,,,,,1850–70,1850,1870,"Pressed glass, diamond thumbprint",H. 9 3/4 in. (24.8 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Probably made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1515,https://www.wikidata.org/wiki/Q116372106,,"Metropolitan Museum of Art, New York, NY",,,
46.140.94,False,False,False,1516,774,The American Wing,1946.0,Celery vase,Celery Vase,American,,,,,122,Maker, ,"Bakewell, Pears and Company",1836–1882, ,"Bakewell, Pears and Company ",American,1836      ,1882      ,,,,1850–70,1850,1870,Pressed glass,H. 9 3/16 in. (23.3 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1516,,,"Metropolitan Museum of Art, New York, NY",,,
46.140.95,False,False,False,1517,774,The American Wing,1946.0,Celery vase,Celery Vase,American,,,,,122,Maker, ,"Bakewell, Pears and Company",1836–1882, ,"Bakewell, Pears and Company ",American,1836      ,1882      ,,,,1850–70,1850,1870,Pressed glass,H. 9 3/16 in. (23.3 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1517,,,"Metropolitan Museum of Art, New York, NY",,,
46.140.385,False,False,True,1518,774,The American Wing,1946.0,Celery vase,Celery Vase,American,,,,,129,Maker, ,Richards and Hartley Flint Glass Co.,ca. 1870–1890, ,Richards and Hartley Flint Glass Co. ,American,1867      ,1890      ,,,,ca. 1888,1885,1888,Pressed colorless and opalescent glass,H. 7 1/2 in. (19.1 cm); Diam. 4 3/16 in. (10.6 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Tarentum,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1518,https://www.wikidata.org/wiki/Q116372107,,"Metropolitan Museum of Art, New York, NY",,,
46.140.386,False,False,True,1519,774,The American Wing,1946.0,Celery vase,Celery Vase,American,,,,,129,Maker, ,Richards and Hartley Flint Glass Co.,ca. 1870–1890, ,Richards and Hartley Flint Glass Co. ,American,1867      ,1890      ,,,,ca. 1888,1885,1888,Pressed colorless and opalescent glass,H. 7 1/2 in. (19.1 cm); Diam. 4 3/16 in. (10.6 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Tarentum,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1519,https://www.wikidata.org/wiki/Q116372111,,"Metropolitan Museum of Art, New York, NY",,,
61.26.1,False,False,False,1520,774,The American Wing,1961.0,Celestial globe,Celestial Globe,American,,,,,135,Maker, ,James Wilson, , ,"Wilson, James",American,          ,9999      ,,,,1819,1819,1819,"Wood, plaster, paper, brass",H. 18 in. (45.7 cm); Diam. 17 1/4 in. (43.8 cm),"Gift of Douglas Campbell Jr., 1961",Made in,Albany,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1520,https://www.wikidata.org/wiki/Q116372114,,"Metropolitan Museum of Art, New York, NY",Globes,http://vocab.getty.edu/page/aat/300028089,https://www.wikidata.org/wiki/Q133792
61.26.2,False,False,False,1521,774,The American Wing,1961.0,Celestial globe,Celestial Globe,American,,,,,135,Maker, ,James Wilson, , ,"Wilson, James",American,          ,9999      ,,,,1821,1821,1821,"Wood, plaster, paper, brass",H. 17 15/16 in. (45.6 cm); Diam. 17 1/2 in. (44.5 cm),"Gift of Douglas Campbell Jr., 1961",Made in,Albany,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1521,https://www.wikidata.org/wiki/Q116372110,,"Metropolitan Museum of Art, New York, NY",Globes,http://vocab.getty.edu/page/aat/300028089,https://www.wikidata.org/wiki/Q133792
1970.271,False,False,True,1522,733,The American Wing,1970.0,Cellaret,Cellaret,American,,,,,,,,,,,,,,,,,,1810–20,1810,1820,"Mahogany, white pine, tulip poplar",24 1/2 x 27 x 20 1/2 in. (62.2 x 68.6 x 52.1 cm),"Purchase, Mrs. Russell Sage Gift, 1970",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1522,https://www.wikidata.org/wiki/Q116372113,,"Metropolitan Museum of Art, New York, NY",,,
11.60.146,False,False,True,1523,774,The American Wing,1911.0,Cellaret,Cellaret,American,,,,,111,Maker,Attributed to,Duncan Phyfe,"American (born Scotland), near Lock Fannich, Ross-Shire, Scotland 1768/1770–1854 New York", ,"Phyfe, Duncan","American, born Scotland",1770      ,1854      ,,http://vocab.getty.edu/page/ulan/500082047,https://www.wikidata.org/wiki/Q3041258,1800–1830,1800,1830,Mahogany,22 x 27 x 20 in. (55.9 x 68.6 x 50.8 cm),"Bequest of Maria P. James, 1910",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1523,https://www.wikidata.org/wiki/Q116372112,,"Metropolitan Museum of Art, New York, NY",,,
1987.12,True,True,True,1524,706,The American Wing,1987.0,Vase,Century Vase,American,,,,,1355127,Maker|Maker, | ,Karl L. H. Müller|Union Porcelain Works,1820–1887|1863–1922, | ,"Müller, Karl L. H.|Union Porcelain Works ",American|American,1820      |1863      ,1890      |1922      ,|,http://vocab.getty.edu/page/ulan/500332076|http://vocab.getty.edu/page/ulan/500333024,|https://www.wikidata.org/wiki/Q18356506,1877,1877,1877,Porcelain,12 3/4 x 10 1/4 in. (32.4 x 26 cm),"Friends of the American Wing Fund, 1987",Made in,Brooklyn,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1524,https://www.wikidata.org/wiki/Q29382890,,"Metropolitan Museum of Art, New York, NY",Animals|George Washington,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/ulan/500126198,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q23
61.230,False,False,True,1526,736,The American Wing,1961.0,Center table,Center Table,,,,,,,,,,,,,,,,,,,1850–60,1850,1860,"Rosewood, ash (secondary wood), marble",H. 28 1/2 in. (72.4 cm); Diam. 36 1/2 in. (92.7 cm),"Gift of Mary E. Steers, 1961",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/1526,https://www.wikidata.org/wiki/Q116372108,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
1974.146,False,False,True,1527,738,The American Wing,1974.0,Center table,Center Table,,,,,,,,,,,,,,,,,,,1830–40,1830,1840,Mahogany,28 1/2 x 33 3/8 x 33 3/8 in. (72.4 x 84.8 x 84.8 cm),"Purchase, The Members of the Committee of the Bertha King Benkard Memorial Fund, by exchange, 1974",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/1527,https://www.wikidata.org/wiki/Q116390659,,"Metropolitan Museum of Art, New York, NY",,,
