Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
58.168.1,False,False,True,1086,774,The American Wing,1958.0,Cachepot,Cachepot,,,,,,,,,,,,,,,,,,,1700–1800,1700,1800,Probably tin,6 9/16 x 9 3/4 in. (16.7 x 24.8 cm),"Rogers Fund, 1958",Made in,,,,France,,,,,,,,,http://www.metmuseum.org/art/collection/search/1086,https://www.wikidata.org/wiki/Q116372569,,"Metropolitan Museum of Art, New York, NY",Trees,http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q10884
58.168.2,False,False,True,1087,774,The American Wing,1958.0,Cachepot,Cachepot,,,,,,,,,,,,,,,,,,,1700–1800,1700,1800,Probably tin,6 9/16 x 9 5/8 in. (16.7 x 24.4 cm),"Rogers Fund, 1958",Made in,,,,France,,,,,,,,,http://www.metmuseum.org/art/collection/search/1087,https://www.wikidata.org/wiki/Q116372568,,"Metropolitan Museum of Art, New York, NY",Trees,http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q10884
"1971.180.139a, b",False,False,True,1088,774,The American Wing,1971.0,Cachepot,Cachepot,British (American market),,,,,,,,,,,,,,,,,,1775–1800,1775,1800,Earthenware,With stand: H. 4 7/8 in. (12.4 cm); Diam. 5 7/16 in. (13.8 cm),"Bequest of Flora E. Whiting, 1971",Made in,,Staffordshire,Staffordshire,England,,,,,,,,,http://www.metmuseum.org/art/collection/search/1088,https://www.wikidata.org/wiki/Q116372567,,"Metropolitan Museum of Art, New York, NY",Grapes|Children,http://vocab.getty.edu/page/aat/300379338|http://vocab.getty.edu/page/aat/300025945,https://www.wikidata.org/wiki/Q10978|https://www.wikidata.org/wiki/Q7569
"1971.180.140a, b",False,False,True,1089,774,The American Wing,1971.0,Cachepot,Cachepot,British (American market),,,,,,,,,,,,,,,,,,1775–1800,1775,1800,Earthenware,With stand: H. 4 13/16 in. (12.2 cm); Diam. 5 1/2 in. (14 cm),"Bequest of Flora E. Whiting, 1971",Made in,,Staffordshire,Staffordshire,England,,,,,,,,,http://www.metmuseum.org/art/collection/search/1089,https://www.wikidata.org/wiki/Q116372560,,"Metropolitan Museum of Art, New York, NY",Grapes|Children,http://vocab.getty.edu/page/aat/300379338|http://vocab.getty.edu/page/aat/300025945,https://www.wikidata.org/wiki/Q10978|https://www.wikidata.org/wiki/Q7569
46.140.10,False,False,True,1091,774,The American Wing,1946.0,Cake plate,Cake plate,American,,,,,,,,,,,,,,,,,,1850–70,1850,1870,Pressed glass,H. 4 3/4 in. (12.1 cm); Diam. 9 1/4 in. (23.5 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Probably made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1091,https://www.wikidata.org/wiki/Q116372566,,"Metropolitan Museum of Art, New York, NY",,,
46.140.11,False,False,True,1092,774,The American Wing,1946.0,Cake plate,Cake Plate,American,,,,,,,,,,,,,,,,,,1850–70,1850,1870,Pressed glass,H. 3 in. (7.6 cm); Diam. 8 in. (20.3 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Probably made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1092,https://www.wikidata.org/wiki/Q116372564,,"Metropolitan Museum of Art, New York, NY",,,
46.140.822,False,False,False,1093,774,The American Wing,1946.0,Cake plate,Cake plate,American,,,,,,,,,,,,,,,,,,1800–1900,1800,1900,"Pressed glass, diamond thumbprint",H. 6 9/16 in. (16.7 cm); Diam. 12 in. (30.5 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1093,https://www.wikidata.org/wiki/Q116390438,,"Metropolitan Museum of Art, New York, NY",,,
46.140.537,False,False,True,1094,774,The American Wing,1946.0,Cake plate,Cake Plate,American,,,,,123,Maker, ,Adams and Company, , ,Adams and Company ,American,          ,9999      ,,(not assigned),https://www.wikidata.org/wiki/Q56033713,1870–90,1870,1890,Pressed yellow glass,H. 7 3/4 in. (19.7 cm); Diam. 12 1/8 in. (30.8 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1094,https://www.wikidata.org/wiki/Q116372563,,"Metropolitan Museum of Art, New York, NY",,,
46.140.538,False,False,True,1095,774,The American Wing,1946.0,Cake plate,Cake Plate,American,,,,,123,Maker, ,Adams and Company, , ,Adams and Company ,American,          ,9999      ,,(not assigned),https://www.wikidata.org/wiki/Q56033713,1870–90,1870,1890,Pressed yellow glass,H. 6 1/2 in. (16.5 cm); Diam. 10 in. (25.4 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1095,https://www.wikidata.org/wiki/Q116372565,,"Metropolitan Museum of Art, New York, NY",,,
46.140.89,False,False,True,1096,774,The American Wing,1946.0,Cake stand,Cake Stand,American,,,,,122,Maker, ,"Bakewell, Pears and Company",1836–1882, ,"Bakewell, Pears and Company ",American,1836      ,1882      ,,,,1850–70,1850,1870,Pressed glass,H. 4 1/8 in. (10.5 cm); Diam. 9 3/4 in. (24.8 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1096,https://www.wikidata.org/wiki/Q116372562,,"Metropolitan Museum of Art, New York, NY",,,
51.171.146,False,False,True,1097,774,The American Wing,1951.0,Cake tray,Cake Tray,American,,,,,,,,,,,,,,,,,,1830–35,1830,1835,Lacy pressed glass,8 1/2 x 11 9/16 in. (21.6 x 29.4 cm),"Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951",Probably made in,,,,United States,New England ,,,,,,,,http://www.metmuseum.org/art/collection/search/1097,https://www.wikidata.org/wiki/Q116372561,,"Metropolitan Museum of Art, New York, NY",,,
