Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
10.125.588d,False,False,True,2066,508,The American Wing,1910.0,Churn,Churn,,,,,,,,,,,,,,,,,,,1700–1800,1700,1800,Wood; Probably cedar,"25 in., 8 × 7 in. (63.5 cm)","Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/2066,https://www.wikidata.org/wiki/Q116390900,,"Metropolitan Museum of Art, New York, NY",,,
41.140.2,False,False,True,2067,706,The American Wing,1941.0,Cigarette case,Cigarette Case,American,,,,,16253,Maker, ,Tiffany & Co.,1837–present, ,Tiffany & Co., ,1837      ,9999      ,,http://vocab.getty.edu/page/ulan/500330306,https://www.wikidata.org/wiki/Q1066858,1890–1900,1890,1900,"Gold, silver, brass, patinated copper, gold-copper alloy, silver-copper alloy, and patinated copper-platinum-iron alloy",3 x 2 3/8 x 9/16 in. (7.6 x 6 x 1.4 cm); 3 oz. 5 dwt. (101.6 g),"Gift of Susan Dwight Bliss, 1941",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2067,https://www.wikidata.org/wiki/Q116390902,,"Metropolitan Museum of Art, New York, NY",,,
10.125.599 z 20.1,False,False,False,2068,774,The American Wing,1910.0,Clamp,Clamp,,,,,,,,,,,,,,,,,,,1700–1800,1700,1800,Iron,Diam. 5 11/16 in. (14.4 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/2068,https://www.wikidata.org/wiki/Q116390903,,"Metropolitan Museum of Art, New York, NY",,,
46.140.866,False,False,True,2069,774,The American Wing,1946.0,Claret glass,Claret Glass,American,,,,,141,Maker, ,McKee and Brothers,1856–89, ,McKee and Brothers ,American,1856      ,1889      ,,,,1860–70,1860,1870,Pressed glass,H. 6 in. (15.2 cm); Diam. 2 1/2 in. (6.4 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Pittsburgh,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2069,https://www.wikidata.org/wiki/Q116371763,,"Metropolitan Museum of Art, New York, NY",,,
46.140.827,False,False,True,2070,774,The American Wing,1946.0,Claret glass,Claret Glass,,,,,,,,,,,,,,,,,,,1850–70,1850,1870,Pressed glass,H. 4 15/16 in. (12.5 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/2070,https://www.wikidata.org/wiki/Q116371764,,"Metropolitan Museum of Art, New York, NY",,,
46.140.828,False,False,True,2071,774,The American Wing,1946.0,Claret glass,Claret Glass,,,,,,,,,,,,,,,,,,,1850–70,1850,1870,Pressed glass,H. 4 7/8 in. (12.4 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/2071,https://www.wikidata.org/wiki/Q116371761,,"Metropolitan Museum of Art, New York, NY",,,
46.140.829,False,False,True,2072,774,The American Wing,1946.0,Claret glass,Claret Glass,,,,,,,,,,,,,,,,,,,1850–70,1850,1870,Pressed glass,H. 4 15/16 in. (12.5 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/2072,https://www.wikidata.org/wiki/Q116371766,,"Metropolitan Museum of Art, New York, NY",,,
46.140.830,False,False,True,2073,774,The American Wing,1946.0,Claret glass,Claret Glass,,,,,,,,,,,,,,,,,,,1850–70,1850,1870,Pressed glass,H. 4 15/16 in. (12.5 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/2073,https://www.wikidata.org/wiki/Q116371759,,"Metropolitan Museum of Art, New York, NY",,,
48.133,False,False,True,2074,,The American Wing,1948.0,Clasp,Clasp,American,,,,,141,Maker, ,Joseph Richardson Sr.,1711–1784, ,"Richardson, Joseph Sr.",American,1711      ,1784      ,,(not assigned),https://www.wikidata.org/wiki/Q68498026,ca. 1750,1747,1750,Gold,7/8 x 1/2 in. (2.2 x 1.3 cm),"Gift of Arthur J. Sussel, 1948",Made in,Philadelphia,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2074,,,"Metropolitan Museum of Art, New York, NY",,,
15.61.3b,False,False,False,2075,,The American Wing,1915.0,Necklace,Necklace,American,,,,,,,,,,,,,,,,,,1870–1930,1870,1930,"Gold, imitation diamonds",Dimensions unavailable,"Gift of Mrs. Anna Antonia Draper Dixon and Mrs. Annie Dixon McClure, 1915",Probably made in,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2075,,,"Metropolitan Museum of Art, New York, NY",,,
83.2.90,False,False,True,2076,,The American Wing,1883.0,Medal,Medal,,,,,,,,,,,,,,,,,,,1800–30,1800,1830,Gilt copper,Diam. 2 in. (5.1 cm),"Gift of William H. Huntington, 1883",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/2076,,,"Metropolitan Museum of Art, New York, NY",George Washington|Profiles,http://vocab.getty.edu/page/ulan/500126198|http://vocab.getty.edu/page/aat/300123319,https://www.wikidata.org/wiki/Q23|https://www.wikidata.org/wiki/Q4382010
